gameweek,team,goals,yellow_cards,red_cards,second_yellow_cards,date_of_match,matches_played,points,goals_for,goals_against,goal_difference,fairplay,index,rank
1,Sevilla,4,0.0,0.0,0.0,2018-08-19,1,3,4,1,3,0.0,10,1
1,Barcelona,3,0.0,0.0,0.0,2018-08-18,1,3,3,0,3,0.0,10,2
1,Levante,3,2.0,0.0,0.0,2018-08-17,1,3,3,0,3,2.0,10,3
1,Real_Madrid,2,1.0,0.0,0.0,2018-08-19,1,3,2,0,2,1.0,10,4
1,Huesca,2,1.0,0.0,0.0,2018-08-19,1,3,2,1,1,1.0,10,5
1,Real_Sociedad,2,3.0,0.0,0.0,2018-08-18,1,3,2,1,1,3.0,10,6
1,Athletic_Club,2,4.0,0.0,0.0,2018-08-20,1,3,2,1,1,4.0,10,7
1,Espanyol,1,2.0,0.0,0.0,2018-08-18,1,1,1,1,0,2.0,10,8
1,Valencia,1,2.0,0.0,0.0,2018-08-20,1,1,1,1,0,2.0,10,9
1,Celta_Vigo,1,3.0,0.0,0.0,2018-08-18,1,1,1,1,0,3.0,10,10
1,Atletico_Madrid,1,3.0,0.0,0.0,2018-08-20,1,1,1,1,0,3.0,10,11
1,Girona,0,1.0,0.0,0.0,2018-08-17,1,1,0,0,0,1.0,10,12
1,Valladolid,0,1.0,0.0,0.0,2018-08-17,1,1,0,0,0,1.0,10,13
1,Eibar,1,1.0,0.0,0.0,2018-08-19,1,0,1,2,-1,1.0,10,14
1,Villarreal,1,2.0,0.0,0.0,2018-08-18,1,0,1,2,-1,2.0,10,15
1,Leganes,1,5.0,0.0,0.0,2018-08-20,1,0,1,2,-1,5.0,10,16
1,Getafe,0,7.0,0.0,0.0,2018-08-19,1,0,0,2,-2,7.0,10,17
1,Rayo_Vallecano,1,1.0,0.0,0.0,2018-08-19,1,0,1,4,-3,1.0,10,18
1,Real_Betis,0,0.0,0.0,0.0,2018-08-17,1,0,0,3,-3,0.0,10,19
1,Alaves,0,2.0,0.0,0.0,2018-08-18,1,0,0,3,-3,2.0,10,20
2,Real_Madrid,4,4.0,0.0,0.0,2018-08-26,2,6,6,1,5,4.0,20,1
2,Barcelona,1,1.0,0.0,0.0,2018-08-25,2,6,4,0,4,1.0,20,2
2,Athletic_Club,2,6.0,0.0,0.0,2018-08-27,2,4,4,3,1,6.0,20,3
2,Huesca,2,3.0,0.0,0.0,2018-08-27,2,4,4,3,1,3.0,20,4
2,Espanyol,2,3.0,0.0,0.0,2018-08-26,2,4,3,1,2,3.0,20,5
2,Celta_Vigo,2,6.0,0.0,0.0,2018-08-27,2,4,3,2,1,6.0,20,6
2,Sevilla,0,3.0,0.0,0.0,2018-08-26,2,4,4,1,3,3.0,20,7
2,Real_Sociedad,2,5.0,0.0,0.0,2018-08-24,2,4,4,3,1,5.0,20,8
2,Atletico_Madrid,1,4.0,0.0,0.0,2018-08-25,2,4,2,1,1,4.0,20,9
2,Levante,1,4.0,0.0,0.0,2018-08-27,2,3,4,2,2,4.0,20,10
2,Getafe,2,9.0,0.0,0.0,2018-08-24,2,3,2,2,0,9.0,20,11
2,Valladolid,0,2.0,0.0,0.0,2018-08-25,2,1,0,1,-1,2.0,20,12
2,Girona,1,3.0,0.0,0.0,2018-08-26,2,1,1,4,-3,3.0,20,13
2,Real_Betis,0,1.0,0.0,0.0,2018-08-25,2,1,0,3,-3,1.0,20,14
2,Alaves,0,5.0,0.0,0.0,2018-08-25,2,1,0,3,-3,5.0,20,15
2,Leganes,2,6.0,0.0,0.0,2018-08-24,2,1,3,4,-1,6.0,20,16
2,Villarreal,0,4.0,0.0,0.0,2018-08-26,2,1,1,2,-1,4.0,20,17
2,Valencia,0,3.0,0.0,0.0,2018-08-26,2,1,1,3,-2,3.0,20,18
2,Eibar,0,2.0,0.0,0.0,2018-08-24,2,0,1,4,-3,2.0,20,19
2,Rayo_Vallecano,0,2.0,0.0,0.0,2018-08-25,2,0,1,5,-4,2.0,20,20
3,Barcelona,8,2.0,0.0,0.0,2018-09-02,3,9,12,2,10,2.0,29,1
3,Real_Madrid,4,5.0,0.0,0.0,2018-09-01,3,9,10,2,8,5.0,29,2
3,Celta_Vigo,2,10.0,0.0,0.0,2018-09-01,3,7,5,2,3,10.0,29,3
3,Alaves,2,9.0,0.0,0.0,2018-09-02,3,4,2,4,-2,9.0,29,4
3,Real_Betis,1,4.0,0.0,0.0,2018-09-02,3,4,1,3,-2,4.0,29,5
3,Levante,2,8.0,1.0,1.0,2018-09-02,3,4,6,4,2,9.0,29,6
3,Espanyol,1,6.0,0.0,0.0,2018-09-02,3,4,4,3,1,6.0,29,7
3,Sevilla,0,9.0,1.0,1.0,2018-09-02,3,4,4,2,2,10.0,29,8
3,Real_Sociedad,1,7.0,0.0,0.0,2018-08-31,3,4,5,5,0,7.0,29,9
3,Getafe,0,12.0,0.0,0.0,2018-08-31,3,4,2,2,0,12.0,29,10
3,Atletico_Madrid,0,9.0,1.0,1.0,2018-09-01,3,4,2,3,-1,10.0,29,11
3,Girona,1,5.0,0.0,0.0,2018-08-31,3,4,2,4,-2,5.0,29,12
3,Huesca,2,5.0,0.0,0.0,2018-09-02,3,4,6,11,-5,5.0,29,13
3,Eibar,2,5.0,0.0,0.0,2018-08-31,3,3,3,5,-2,5.0,29,14
3,Valladolid,0,3.0,0.0,0.0,2018-08-31,3,2,0,1,-1,3.0,29,15
3,Valencia,2,5.0,0.0,0.0,2018-09-02,3,2,3,5,-2,5.0,29,16
3,Villarreal,0,7.0,0.0,0.0,2018-08-31,3,1,1,3,-2,7.0,29,17
3,Leganes,1,7.0,0.0,0.0,2018-09-01,3,1,4,8,-4,7.0,29,18
4,Barcelona,2,3.0,0.0,0.0,2018-09-15,4,12,14,3,11,3.0,39,1
4,Real_Madrid,1,7.0,0.0,0.0,2018-09-15,4,10,11,3,8,7.0,39,2
4,Girona,3,6.0,0.0,0.0,2018-09-17,4,7,5,6,-1,6.0,39,3
4,Alaves,1,11.0,0.0,0.0,2018-09-16,4,7,3,4,-1,11.0,39,4
4,Celta_Vigo,2,13.0,1.0,1.0,2018-09-17,4,7,7,5,2,14.0,39,5
4,Espanyol,1,7.0,0.0,0.0,2018-09-16,4,7,5,3,2,7.0,39,6
4,Getafe,2,18.0,0.0,0.0,2018-09-16,4,7,4,2,2,18.0,39,7
4,Athletic_Club,1,12.0,0.0,0.0,2018-09-15,3,5,5,4,1,12.0,39,8
4,Atletico_Madrid,1,11.0,1.0,1.0,2018-09-15,4,5,3,4,-1,12.0,39,9
4,Real_Betis,0,7.0,0.0,0.0,2018-09-15,4,5,1,3,-2,7.0,39,10
4,Eibar,1,7.0,0.0,0.0,2018-09-15,4,4,4,6,-2,7.0,39,11
4,Real_Sociedad,1,8.0,0.0,0.0,2018-09-15,4,4,6,7,-1,8.0,39,12
4,Huesca,0,7.0,0.0,0.0,2018-09-14,4,4,6,12,-6,7.0,39,13
4,Sevilla,0,12.0,1.0,1.0,2018-09-16,4,4,4,4,0,13.0,39,14
4,Villarreal,1,10.0,0.0,0.0,2018-09-16,4,4,2,3,-1,10.0,39,15
4,Levante,0,10.0,1.0,1.0,2018-09-16,4,4,6,5,1,11.0,39,16
4,Valencia,0,11.0,0.0,0.0,2018-09-15,4,3,3,5,-2,11.0,39,17
4,Rayo_Vallecano,1,3.0,0.0,0.0,2018-09-14,3,3,2,5,-3,3.0,39,18
4,Valladolid,0,6.0,0.0,0.0,2018-09-16,4,2,0,2,-2,6.0,39,19
4,Leganes,0,11.0,0.0,0.0,2018-09-16,4,1,4,9,-5,11.0,39,20
5,Barcelona,2,6.0,1.0,0.0,2018-09-23,5,13,16,5,11,9.0,49,1
5,Real_Madrid,1,9.0,0.0,0.0,2018-09-22,5,13,12,3,9,9.0,49,2
5,Alaves,5,13.0,0.0,0.0,2018-09-22,5,10,8,5,3,13.0,49,3
5,Girona,2,11.0,0.0,0.0,2018-09-23,5,8,7,8,-1,11.0,49,4
5,Celta_Vigo,3,15.0,1.0,1.0,2018-09-22,5,8,10,8,2,16.0,49,5
