gameweek,team,goals,yellow_cards,red_cards,second_yellow_cards,date_of_match,matches_played,points,goals_for,goals_against,goal_difference,fairplay,index,rank
1,Celta_Vigo,2,2.0,0.0,0.0,2024-08-16,1,3,2,1,1,2.0,10,1
1,Barcelona,2,3.0,0.0,0.0,2024-08-17,1,3,2,1,1,3.0,10,2
1,Rayo_Vallecano,2,4.0,0.0,0.0,2024-08-18,1,3,2,1,1,4.0,10,3
1,Valladolid,1,2.0,0.0,0.0,2024-08-19,1,3,1,0,1,2.0,10,4
1,Villarreal,2,1.0,0.0,0.0,2024-08-19,1,1,2,2,0,1.0,10,5
1,Las_Palmas,2,2.0,0.0,0.0,2024-08-16,1,1,2,2,0,2.0,10,6
1,Sevilla,2,2.0,0.0,0.0,2024-08-16,1,1,2,2,0,2.0,10,7
1,Atletico_Madrid,2,3.0,0.0,0.0,2024-08-19,1,1,2,2,0,3.0,10,8
1,Girona,1,0.0,0.0,0.0,2024-08-15,1,1,1,1,0,0.0,10,9
1,Getafe,1,1.0,0.0,0.0,2024-08-15,1,1,1,1,0,1.0,10,10
1,Mallorca,1,1.0,0.0,0.0,2024-08-18,1,1,1,1,0,1.0,10,11
1,Real_Betis,1,2.0,0.0,0.0,2024-08-15,1,1,1,1,0,2.0,10,12
1,Leganes,1,2.0,0.0,0.0,2024-08-17,1,1,1,1,0,2.0,10,13
1,Osasuna,1,3.0,0.0,0.0,2024-08-17,1,1,1,1,0,3.0,10,14
1,Real_Madrid,1,0.0,1.0,0.0,2024-08-18,1,1,1,1,0,3.0,10,15
1,Athletic_Club,1,4.0,0.0,0.0,2024-08-15,1,1,1,1,0,4.0,10,16
1,Alaves,1,2.0,0.0,0.0,2024-08-16,1,0,1,2,-1,2.0,10,17
1,Valencia,1,2.0,0.0,0.0,2024-08-17,1,0,1,2,-1,2.0,10,18
1,Real_Sociedad,1,2.0,0.0,0.0,2024-08-18,1,0,1,2,-1,2.0,10,19
1,Espanyol,0,2.0,0.0,0.0,2024-08-19,1,0,0,1,-1,2.0,10,20
2,Celta_Vigo,3,5.0,0.0,0.0,2024-08-23,2,6,5,2,3,5.0,20,1
2,Barcelona,2,7.0,0.0,0.0,2024-08-24,2,6,4,2,2,7.0,20,2
2,Villarreal,2,6.0,0.0,0.0,2024-08-23,2,4,4,3,1,6.0,20,3
2,Atletico_Madrid,3,4.0,0.0,0.0,2024-08-25,2,4,5,2,3,4.0,20,4
2,Leganes,2,3.0,0.0,0.0,2024-08-25,2,4,3,2,1,3.0,20,5
2,Osasuna,1,5.0,0.0,0.0,2024-08-24,2,4,2,1,1,5.0,20,6
2,Real_Madrid,3,1.0,1.0,0.0,2024-08-25,2,4,4,1,3,4.0,20,7
2,Rayo_Vallecano,0,6.0,0.0,0.0,2024-08-24,2,4,2,1,1,6.0,20,8
2,Real_Sociedad,1,4.0,0.0,0.0,2024-08-24,2,3,2,2,0,4.0,20,9
2,Valladolid,0,3.0,0.0,0.0,2024-08-25,2,3,1,3,-2,3.0,20,10
2,Getafe,0,2.0,0.0,0.0,2024-08-24,2,2,1,1,0,2.0,20,11
2,Real_Betis,0,6.0,0.0,0.0,2024-08-25,2,2,1,1,0,6.0,20,12
2,Las_Palmas,1,3.0,0.0,0.0,2024-08-25,2,1,3,4,-1,3.0,20,13
2,Sevilla,1,5.0,0.0,0.0,2024-08-23,2,1,3,4,-1,5.0,20,14
2,Athletic_Club,1,9.0,0.0,0.0,2024-08-24,2,1,2,3,-1,9.0,20,15
2,Mallorca,0,2.0,0.0,0.0,2024-08-24,2,1,1,2,-1,2.0,20,16
2,Alaves,0,3.0,1.0,0.0,2024-08-25,2,1,1,2,-1,6.0,20,17
2,Girona,0,3.0,0.0,0.0,2024-08-25,2,1,1,4,-3,3.0,20,18
2,Espanyol,0,4.0,0.0,0.0,2024-08-24,2,0,0,2,-2,4.0,20,19
2,Valencia,1,2.0,0.0,0.0,2024-08-23,2,0,2,5,-3,2.0,20,20
3,Barcelona,2,8.0,0.0,0.0,2024-08-27,3,9,6,3,3,8.0,29,1
3,Villarreal,4,10.0,0.0,0.0,2024-08-26,3,7,8,6,2,10.0,29,2
3,Celta_Vigo,3,8.0,0.0,0.0,2024-08-26,3,6,8,6,2,8.0,29,3
3,Atletico_Madrid,0,4.0,0.0,0.0,2024-08-28,3,5,5,2,3,4.0,29,4
3,Real_Madrid,1,3.0,1.0,0.0,2024-08-29,3,5,5,2,3,6.0,29,5
3,Leganes,0,8.0,0.0,0.0,2024-08-28,3,5,3,2,1,8.0,29,6
3,Girona,4,3.0,0.0,0.0,2024-08-29,3,4,5,4,1,3.0,29,7
3,Rayo_Vallecano,1,9.0,0.0,0.0,2024-08-27,3,4,3,3,0,9.0,29,8
3,Athletic_Club,1,10.0,0.0,0.0,2024-08-28,3,4,3,3,0,10.0,29,9
3,Alaves,2,7.0,1.0,0.0,2024-08-28,3,4,3,3,0,10.0,29,10
3,Valladolid,0,4.0,0.0,0.0,2024-08-28,3,4,1,3,-2,4.0,29,11
3,Osasuna,0,5.0,0.0,0.0,2024-08-29,3,4,2,5,-3,5.0,29,12
3,Real_Sociedad,1,8.0,1.0,0.0,2024-08-28,3,3,3,4,-1,11.0,29,13
3,Sevilla,0,6.0,1.0,0.0,2024-08-27,3,2,3,4,-1,9.0,29,14
3,Las_Palmas,1,3.0,0.0,0.0,2024-08-29,3,2,4,5,-1,3.0,29,15
3,Mallorca,0,2.0,0.0,0.0,2024-08-27,3,2,1,2,-1,2.0,29,16
3,Espanyol,0,6.0,0.0,0.0,2024-08-28,3,1,0,2,-2,6.0,29,17
3,Valencia,0,5.0,0.0,0.0,2024-08-28,3,0,2,6,-4,5.0,29,18
4,Barcelona,7,8.0,0.0,0.0,2024-08-31,4,12,13,3,10,8.0,38,1
4,Atletico_Madrid,1,5.0,0.0,0.0,2024-08-31,4,8,6,2,4,5.0,38,2
