gameweek,team,goals,yellow_cards,red_cards,second_yellow_cards,date_of_match,matches_played,points,goals_for,goals_against,goal_difference,fairplay,index,rank
1,Villarreal,3,0.0,0.0,0.0,2022-08-13,1,3,3,0,3,0.0,10,1
1,Atletico_Madrid,3,1.0,0.0,0.0,2022-08-15,1,3,3,0,3,1.0,10,2
1,Real_Betis,3,3.0,0.0,0.0,2022-08-15,1,3,3,0,3,3.0,10,3
1,Real_Madrid,2,1.0,0.0,0.0,2022-08-14,1,3,2,1,1,1.0,10,4
1,Osasuna,2,5.0,0.0,0.0,2022-08-12,1,3,2,1,1,5.0,10,5
1,Real_Sociedad,1,2.0,0.0,0.0,2022-08-14,1,3,1,0,1,2.0,10,6
1,Valencia,1,2.0,1.0,0.0,2022-08-14,1,3,1,0,1,5.0,10,7
1,Espanyol,2,2.0,0.0,0.0,2022-08-13,1,1,2,2,0,2.0,10,8
1,Celta_Vigo,2,5.0,0.0,0.0,2022-08-13,1,1,2,2,0,5.0,10,9
1,Athletic_Club,0,0.0,0.0,0.0,2022-08-15,1,1,0,0,0,0.0,10,10
1,Barcelona,0,3.0,1.0,1.0,2022-08-13,1,1,0,0,0,4.0,10,11
1,Rayo_Vallecano,0,6.0,0.0,0.0,2022-08-13,1,1,0,0,0,6.0,10,12
1,Mallorca,0,6.0,0.0,0.0,2022-08-15,1,1,0,0,0,6.0,10,13
1,Sevilla,1,3.0,0.0,0.0,2022-08-12,1,0,1,2,-1,3.0,10,14
1,Almeria,1,3.0,0.0,0.0,2022-08-14,1,0,1,2,-1,3.0,10,15
1,Girona,0,3.0,0.0,0.0,2022-08-14,1,0,0,1,-1,3.0,10,16
1,Cadiz,0,4.0,0.0,0.0,2022-08-14,1,0,0,1,-1,4.0,10,17
1,Valladolid,0,1.0,0.0,0.0,2022-08-13,1,0,0,3,-3,1.0,10,18
1,Getafe,0,2.0,0.0,0.0,2022-08-15,1,0,0,3,-3,2.0,10,19
1,Elche,0,6.0,1.0,0.0,2022-08-15,1,0,0,3,-3,9.0,10,20
2,Villarreal,2,3.0,0.0,0.0,2022-08-21,2,6,5,0,5,3.0,20,1
2,Real_Madrid,4,3.0,0.0,0.0,2022-08-20,2,6,6,2,4,3.0,20,2
2,Real_Betis,2,11.0,0.0,0.0,2022-08-20,2,6,5,1,4,11.0,20,3
2,Osasuna,2,7.0,0.0,0.0,2022-08-20,2,6,4,1,3,7.0,20,4
2,Barcelona,4,4.0,1.0,1.0,2022-08-21,2,4,4,1,3,5.0,20,5
2,Rayo_Vallecano,2,11.0,1.0,1.0,2022-08-19,2,4,2,0,2,12.0,20,6
2,Athletic_Club,1,5.0,0.0,0.0,2022-08-21,2,4,1,0,1,5.0,20,7
2,Valencia,0,4.0,1.0,0.0,2022-08-21,2,3,1,1,0,7.0,20,8
2,Girona,3,5.0,0.0,0.0,2022-08-22,2,3,3,2,1,5.0,20,9
2,Atletico_Madrid,0,3.0,1.0,0.0,2022-08-21,2,3,3,2,1,6.0,20,10
2,Real_Sociedad,1,4.0,0.0,0.0,2022-08-21,2,3,2,4,-2,4.0,20,11
2,Espanyol,0,4.0,1.0,0.0,2022-08-19,2,1,2,4,-2,7.0,20,12
2,Celta_Vigo,1,7.0,0.0,0.0,2022-08-20,2,1,3,6,-3,7.0,20,13
2,Almeria,1,7.0,0.0,0.0,2022-08-22,2,1,2,3,-1,7.0,20,14
2,Sevilla,1,6.0,1.0,0.0,2022-08-19,2,1,2,3,-1,9.0,20,15
2,Valladolid,1,3.0,1.0,0.0,2022-08-19,2,1,1,4,-3,6.0,20,16
2,Elche,1,7.0,1.0,0.0,2022-08-22,2,1,1,4,-3,10.0,20,17
2,Mallorca,1,13.0,0.0,0.0,2022-08-20,2,1,1,2,-1,13.0,20,18
2,Cadiz,0,9.0,1.0,1.0,2022-08-20,2,0,0,3,-3,10.0,20,19
2,Getafe,1,8.0,1.0,0.0,2022-08-22,2,0,1,6,-5,11.0,20,20
3,Real_Madrid,3,3.0,0.0,0.0,2022-08-28,3,9,9,3,6,3.0,30,1
3,Real_Betis,1,11.0,1.0,0.0,2022-08-26,3,9,6,1,5,14.0,30,2
3,Barcelona,4,4.0,1.0,1.0,2022-08-28,3,7,8,1,7,5.0,30,3
3,Athletic_Club,4,6.0,0.0,0.0,2022-08-29,3,7,5,0,5,6.0,30,4
3,Villarreal,0,8.0,0.0,0.0,2022-08-28,3,7,5,0,5,8.0,30,5
3,Atletico_Madrid,1,6.0,1.0,0.0,2022-08-29,3,6,4,2,2,9.0,30,6
3,Osasuna,0,10.0,0.0,0.0,2022-08-26,3,6,4,2,2,10.0,30,7
3,Real_Sociedad,1,7.0,0.0,0.0,2022-08-27,3,6,3,4,-1,7.0,30,8
3,Mallorca,2,16.0,0.0,0.0,2022-08-27,3,4,3,2,1,16.0,30,9
3,Almeria,2,12.0,0.0,0.0,2022-08-27,3,4,4,4,0,12.0,30,10
3,Rayo_Vallecano,0,12.0,1.0,1.0,2022-08-27,3,4,2,2,0,13.0,30,11
3,Celta_Vigo,1,8.0,0.0,0.0,2022-08-26,3,4,4,6,-2,8.0,30,12
3,Valencia,0,8.0,1.0,0.0,2022-08-29,3,3,1,2,-1,11.0,30,13
3,Girona,0,7.0,0.0,0.0,2022-08-26,3,3,3,3,0,7.0,30,14
3,Sevilla,1,14.0,1.0,0.0,2022-08-27,3,1,3,5,-2,17.0,30,15
3,Valladolid,0,6.0,1.0,0.0,2022-08-28,3,1,1,8,-7,9.0,30,16
3,Espanyol,1,4.0,2.0,0.0,2022-08-28,3,1,3,7,-4,10.0,30,17
3,Elche,0,10.0,1.0,0.0,2022-08-27,3,1,1,5,-4,13.0,30,18
3,Getafe,0,9.0,1.0,0.0,2022-08-28,3,1,1,6,-5,12.0,30,19
3,Cadiz,0,11.0,1.0,1.0,2022-08-29,3,0,0,7,-7,12.0,30,20
4,Real_Madrid,2,3.0,0.0,0.0,2022-09-03,4,12,11,4,7,3.0,40,1
4,Barcelona,3,8.0,1.0,1.0,2022-09-03,4,10,11,1,10,9.0,40,2
4,Villarreal,4,9.0,0.0,0.0,2022-09-04,4,10,9,0,9,9.0,40,3
4,Real_Betis,1,12.0,1.0,0.0,2022-09-03,4,9,7,3,4,15.0,40,4
4,Osasuna,2,12.0,0.0,0.0,2022-09-04,4,9,6,3,3,12.0,40,5
4,Atletico_Madrid,1,10.0,1.0,0.0,2022-09-03,4,7,5,3,2,13.0,40,6
4,Real_Sociedad,1,12.0,0.0,0.0,2022-09-03,4,7,4,5,-1,12.0,40,7
4,Athletic_Club,0,9.0,0.0,0.0,2022-09-04,4,7,5,1,4,9.0,40,8
4,Celta_Vigo,3,9.0,0.0,0.0,2022-09-02,4,7,7,6,1,9.0,40,9
4,Valencia,5,11.0,2.0,1.0,2022-09-04,4,6,6,3,3,15.0,40,10
4,Mallorca,1,20.0,0.0,0.0,2022-09-03,4,5,4,3,1,20.0,40,11
4,Rayo_Vallecano,1,14.0,1.0,1.0,2022-09-04,4,4,3,4,-1,15.0,40,12
4,Valladolid,1,7.0,1.0,0.0,2022-09-05,4,4,2,8,-6,10.0,40,13
4,Girona,1,9.0,0.0,0.0,2022-09-03,4,4,4,4,0,9.0,40,14
4,Almeria,0,18.0,0.0,0.0,2022-09-05,4,4,4,5,-1,18.0,40,15
4,Espanyol,1,6.0,2.0,0.0,2022-09-04,4,4,4,7,-3,12.0,40,16
4,Sevilla,0,16.0,1.0,0.0,2022-09-03,4,1,3,8,-5,19.0,40,17
4,Elche,0,13.0,1.0,0.0,2022-09-04,4,1,1,9,-8,16.0,40,18
4,Getafe,1,15.0,2.0,1.0,2022-09-04,4,1,2,11,-9,19.0,40,19
4,Cadiz,0,13.0,1.0,1.0,2022-09-02,4,0,0,10,-10,14.0,40,20
5,Real_Madrid,4,6.0,0.0,0.0,2022-09-11,5,15,15,5,10,6.0,50,1
5,Barcelona,4,10.0,1.0,1.0,2022-09-10,5,13,15,1,14,11.0,50,2
5,Real_Betis,1,13.0,1.0,0.0,2022-09-11,5,12,8,3,5,16.0,50,3
5,Osasuna,1,14.0,0.0,0.0,2022-09-12,5,12,7,3,4,14.0,50,4
5,Villarreal,0,10.0,0.0,0.0,2022-09-11,5,10,9,1,8,10.0,50,5
5,Athletic_Club,4,9.0,0.0,0.0,2022-09-11,5,10,9,2,7,9.0,50,6
5,Atletico_Madrid,4,12.0,1.0,0.0,2022-09-10,5,10,9,4,5,15.0,50,7
5,Celta_Vigo,1,12.0,0.0,0.0,2022-09-10,5,7,8,10,-2,12.0,50,8
5,Girona,2,9.0,0.0,0.0,2022-09-09,5,7,6,5,1,9.0,50,9
5,Rayo_Vallecano,2,19.0,1.0,1.0,2022-09-10,5,7,5,5,0,20.0,50,10
5,Real_Sociedad,1,13.0,0.0,0.0,2022-09-11,5,7,5,7,-2,13.0,50,11
5,Valencia,1,13.0,2.0,1.0,2022-09-10,5,6,7,5,2,17.0,50,12
5,Mallorca,1,25.0,0.0,0.0,2022-09-11,5,5,5,7,-2,25.0,50,13
5,Sevilla,3,21.0,2.0,1.0,2022-09-10,5,4,6,10,-4,25.0,50,14
