WindSpeed[m/s],Power[MW],Ct
3,0.0,0.979
4,0.028,1.111
5,0.144,1.014
6,0.309,0.925
7,0.511,0.843
8,0.758,0.768
9,1.017,0.701
10,1.285,0.642
11,1.504,0.578
12,1.637,0.509
13,1.65,0.438
14,1.65,0.379
15,1.65,0.334
16,1.65,0.299
17,1.65,0.272
18,1.65,0.249
19,1.65,0.232
20,1.65,0.218
