Energy(MeV),AP
9.72E-09,6.09E-03
9.96E-08,6.09E-03
4.07E-07,2.07E-03
5.43E-07,1.50E-03
6.64E-07,1.34E-03
8.36E-07,1.21E-03
1.08E-06,1.08E-03
1.40E-06,1.06E-03
1.82E-06,1.04E-03
2.96E-06,9.93E-04
3.83E-06,1.08E-03
4.96E-06,1.11E-03
6.62E-06,1.23E-03
8.33E-06,1.43E-03
1.08E-05,1.67E-03
1.36E-05,2.07E-03
1.71E-05,2.57E-03
2.21E-05,3.25E-03
2.78E-05,4.04E-03
3.61E-05,5.01E-03
4.67E-05,6.36E-03
6.05E-05,8.41E-03
7.83E-05,1.04E-02
1.01E-04,1.32E-02
1.31E-04,1.72E-02
1.70E-04,2.18E-02
2.14E-04,2.82E-02
2.85E-04,3.57E-02
3.49E-04,4.63E-02
4.39E-04,5.87E-02
5.86E-04,7.45E-02
7.58E-04,9.65E-02
9.27E-04,1.25E-01
1.24E-03,1.62E-01
1.60E-03,2.10E-01
2.01E-03,2.60E-01
2.26E-03,3.09E-01
2.76E-03,4.01E-01
3.28E-03,4.66E-01
3.90E-03,5.08E-01
4.25E-03,5.79E-01
5.51E-03,7.03E-01
7.13E-03,8.91E-01
9.51E-03,1.15E+00
1.07E-02,1.40E+00
1.42E-02,1.82E+00
1.90E-02,2.30E+00
2.19E-02,2.68E+00
2.68E-02,3.33E+00
3.47E-02,4.04E+00
4.12E-02,4.50E+00
4.89E-02,5.12E+00
5.49E-02,6.09E+00
6.71E-02,6.78E+00
7.97E-02,7.72E+00
1.03E-01,9.17E+00
1.26E-01,1.07E+01
1.54E-01,1.21E+01
2.12E-01,1.44E+01
2.74E-01,1.68E+01
3.55E-01,1.91E+01
4.60E-01,2.27E+01
6.88E-01,2.64E+01
8.66E-01,2.94E+01
1.06E+00,3.35E+01
1.37E+00,3.73E+01
1.78E+00,4.07E+01
2.44E+00,4.73E+01
3.07E+00,5.27E+01
3.86E+00,6.00E+01
5.15E+00,6.13E+01
7.26E+00,6.54E+01
8.63E+00,7.13E+01
1.09E+01,7.77E+01
1.25E+01,8.29E+01
1.53E+01,9.04E+01
1.82E+01,9.65E+01
2.04E+01,1.01E+02
