Energy(MeV),AP
1.00E-08,4.10E-04
9.96E-08,4.01E-04
4.19E-07,1.33E-04
5.28E-07,9.24E-05
6.45E-07,8.12E-05
8.60E-07,7.29E-05
1.08E-06,6.40E-05
1.40E-06,5.75E-05
1.82E-06,4.94E-05
2.35E-06,4.43E-05
3.05E-06,3.98E-05
5.11E-06,3.21E-05
6.43E-06,2.88E-05
8.33E-06,2.70E-05
1.08E-05,2.48E-05
1.44E-05,2.42E-05
2.21E-05,2.32E-05
2.86E-05,2.42E-05
3.71E-05,2.59E-05
4.67E-05,2.94E-05
6.05E-05,3.42E-05
7.83E-05,3.98E-05
9.86E-05,4.73E-05
1.31E-04,5.87E-05
1.65E-04,7.29E-05
2.20E-04,9.24E-05
2.77E-04,1.15E-04
3.59E-04,1.49E-04
4.52E-04,1.88E-04
5.86E-04,2.39E-04
7.37E-04,3.16E-04
9.54E-04,3.92E-04
1.24E-03,5.20E-04
1.56E-03,6.45E-04
2.01E-03,8.35E-04
2.26E-03,1.06E-03
2.61E-03,1.13E-03
2.76E-03,1.21E-03
3.01E-03,1.31E-03
3.48E-03,1.43E-03
3.79E-03,1.60E-03
4.25E-03,1.78E-03
5.67E-03,2.25E-03
7.13E-03,2.86E-03
9.51E-03,3.63E-03
1.10E-02,4.40E-03
1.16E-02,4.90E-03
1.51E-02,5.58E-03
1.90E-02,7.08E-03
2.19E-02,8.41E-03
2.60E-02,1.00E-02
3.18E-02,1.14E-02
4.24E-02,1.27E-02
4.75E-02,9.79E-03
5.81E-02,1.20E-01
6.71E-02,4.43E-02
7.32E-02,2.94E-02
1.00E-01,2.48E-02
1.16E-01,2.18E-02
1.30E-01,1.54E-02
1.34E-01,1.19E-02
1.42E-01,8.79E-03
1.54E-01,5.23E-03
1.64E-01,1.54E-02
1.73E-01,6.54E-02
1.84E-01,2.01E-01
1.89E-01,4.66E-01
2.12E-01,5.54E-01
2.24E-01,4.47E-01
2.52E-01,3.60E-01
2.91E-01,2.96E-01
3.87E-01,2.84E-01
4.88E-01,3.23E-01
5.16E-01,4.37E-01
5.79E-01,6.59E-01
6.31E-01,3.16E-01
7.29E-01,3.84E-01
7.72E-01,4.47E-01
8.18E-01,8.35E-01
9.72E-01,7.18E-01
1.06E+00,4.77E-01
1.15E+00,3.84E-01
1.22E+00,5.66E-01
1.45E+00,6.88E-01
1.68E+00,1.21E+00
1.99E+00,9.31E-01
2.37E+00,8.00E-01
2.66E+00,1.06E+00
3.16E+00,9.51E-01
3.75E+00,1.01E+00
4.09E+00,1.21E+00
4.59E+00,1.37E+00
5.61E+00,1.67E+00
5.94E+00,2.21E+00
6.86E+00,2.86E+00
7.06E+00,3.87E+00
7.26E+00,6.78E+00
7.48E+00,4.80E+00
8.15E+00,6.78E+00
8.63E+00,7.72E+00
9.68E+00,9.17E+00
1.03E+01,1.00E+01
1.15E+01,1.09E+01
1.37E+01,1.19E+01
1.58E+01,1.32E+01
1.77E+01,1.41E+01
2.04E+01,1.41E+01
