WindSpeed[m/s],Power[MW],Ct
3,0.064,0.984
4,0.386,0.821
5,0.881,0.762
6,1.62,0.763
7,2.648,0.764
8,4.007,0.767
9,5.705,0.763
10,7.626,0.725
11,9.314,0.63
12,9.953,0.488
13,10.166,0.369
14,10.333,0.292
15,10.5,0.238
16,10.5,0.195
17,10.5,0.163
18,10.5,0.138
19,10.5,0.118
20,10.5,0.102
21,10.333,0.087
22,10.167,0.075
23,10.0,0.066
24,9.75,0.058
25,9.5,0.052
26,9.405,0.046
27,9.31,0.04
28,4.655,0.034
