Nuclide,Halflife (a),Fetter SAL (Ci/m3)b,NRC (Ci/m3),NRC with Fetter (Ci/m3)
Eu150m,3.60E+01,3.E+03,,3.E+03
Eu152,1.33E+01,3.E+05,,3.E+05
Eu154,8.80E+00,5.E+06,,5.E+06
Gd148,9.80E+01,2.E+05 - 2.E+06,,2.00E+05
Gd150,1.80E+06,2.E+03 - TMSA,,2.00E+03
Tb157,1.50E+02,5.E+03,,5.E+03
Tb158,1.50E+02,4.E+00,,4.E+00
Dy154,1.00E+07,1.E+03 - TMSA,,1.00E+03
Ho166m,1.20E+03,2.E-01,,2.E-01
Lu176,3.59E+10,TMSA,,TMSA
Hf178m,3.10E+01,9.E+03,,9.E+03
Hf182,9.00E+06,2.E-01,,2.E-01
Re186m,2.00E+05,2.E+01,,2.E+01
Re187,4.00E+10,TMSA,,TMSA
Os194,6.00E+00,TMSA,,TMSA
Ir192m,2.41E+02,1.E+00,,1.E+00
Pt190,6.00E+11,TMSA,,TMSA
Pt193,5.00E+01,2.E+08,,2.E+08
Hg194,5.20E+02,5.E-01,,5.E-01
Pb202,5.30E+04,6.E-01,,6.E-01
Pb205,1.90E+07,TMSA,,TMSA
Pb210,2.23E+01,3.E+07 - 3.E+08,,3.00E+07
Bi207,3.22E+01,9.E+03,,9.E+03
Bi208,3.68E+05,8.E-02,,8.E-02
Bi210m,3.00E+06,1.E+00,,1.E+00
Po209,1.02E+02,3.E+03,,3.E+03
Ra226,1.60E+03,1.E-01 - 2.E-01,,1.00E-01
Ra228,5.80E+00,3.E+07,,3.E+07
Ac227,2.18E+01,5.E+05 - 2.E+06,,5.00E+05
Th229,7.30E+03,2.E+00,,2.E+00
Th230,7.50E+04,3.E-01,,3.E-01
Th232,1.40E+10,1.E-01,,1.E-01
Pa231,6.28E+04,7.E-01,,7.E-01
U232,6.89E+01,3.E+01,,3.E+01
U233,1.59E+05,2.E+01,,2.E+01
U234,2.45E+05,9.E+01,,9.E+01
U235,7.04E+08,2.E+00,,2.E+00
U236,2.34E+07,TMSA,,TMSA
U238,4.50E+09,TMSA,,TMSA
Np236,1.15E+05,1.E+00,100 (nCi/g),100 (nCi/g)
Np237,2.10E+06,1.E+00,100 (nCi/g),100 (nCi/g)
Pu238,8.77E+01,7.E+04 - 5.E+05,100 (nCi/g),100 (nCi/g)
Pu239,2.41E+04,1.E+03 - 5.E+03,100 (nCi/g),100 (nCi/g)
Pu240,6.60E+03,1.E+03- 1.E+04,100 (nCi/g),100 (nCi/g)
Pu241,1.44E+01,2.E+03,3500 (nCi/g),3500 (nCi/g)
Pu242,3.73E+05,1.E+03- 1.E+04,100 (nCi/g),100 (nCi/g)
Pu244,8.08E+07,9.E-01,100 (nCi/g),100 (nCi/g)
Am241,4.32E+02,5.E+01,100 (nCi/g),100 (nCi/g)
Am242m,1.41E+02,3.E+02,100 (nCi/g),100 (nCi/g)
Am243,7.40E+03,2.E+00,100 (nCi/g),100 (nCi/g)
Cm242,1.81E+01,,20000 (nCi/g),20000 (nCi/g)
Cm243,2.85E+01,6.E+02,100 (nCi/g),100 (nCi/g)
Cm244,1.81E+01,5.E+05 - 4.E+06,100 (nCi/g),100 (nCi/g)
Cm245,8.50E+03,5.E+00,100 (nCi/g),100 (nCi/g)
Cm246,4.80E+03,8.E+02 - 8.E+03,100 (nCi/g),100 (nCi/g)
Cm248,3.40E+05,8.E+02 - 8.E+03,100 (nCi/g),100 (nCi/g)
