Nuclide,Halflife (a),Fetter SAL (Ci/m3)b,NRC (Ci/m3),NRC with Fetter (Ci/m3)
H3,1.23E+01,TMSAc,4.00E+01,4.00E+01
Be10,1.60E+06,5.E+03,,5.E+03
C14,5.70E+03,6.E+02 - 6.E+03,8.00E+01,8.00E+01
Al26,7.20E+05,9.E-02,,9.E-02
Si32,1.04E+02,6.E+02 - 4.E+03,,6.00E+02
Cl36,3.01E+05,1.E+01- 1.E+02,,1.00E+01
Ar39,2.69E+02,2.E+04,,2.E+04
Ar42,3.30E+01,2.E+04,,2.E+04
K40,1.30E+09,2.E+00,,2.E+00
Ca41,1.03E+05,1.E+04 - 3.E+04,,1.00E+04
Ti44,4.70E+01,2.E+02,,2.E+02
Mn53,3.70E+06,TMSA,,TMSA
Fe60,1.00E+05,1.E-01,,1.E-01
Co60,5.30E+00,3.E+08,7.00E+02,7.00E+02
Ni59,7.50E+04,9.E+02,2.20E+02,2.20E+02
Ni63,1.00E+02,7.E+05 - 7.E+06,7.00E+03,7.00E+03
Se79,6.50E+04,5.E+01 - 5.E+02,,5.00E+01
Kr81,2.10E+05,3.E+01,,3.E+01
Kr85,1.07E+01,TMSA,,TMSA
Rb87,4.80E+10,TMSA,,TMSA
Sr90,2.85E+01,8.E+05 - 7.E+06,7.00E+03,7.00E+03
Zr93,1.50E+06,TMSA,,TMSA
Nb91,6.80E+02,2.E+02,,2.E+02
Nb92,3.60E+07,2.E-01,,2.E-01
Nb93m,1.36E+07,TMSA,,TMSA
Nb94,2.00E+04,2.E-01,2.00E-01,2.00E-01
Mo93,3.50E+03,4.E+03,,4.E+03
Tc97,2.60E+06,4.E-01 - 4.E+00,,4.00E-01
Tc98,4.20E+06,1.E-02 - 8.E-02,,1.00E-02
Tc99,2.13E+05,6.E-02 - 6.E-01,3.00E+00,3.00E+00
Pd107,6.50E+06,9.E+02 - TMSA,,9.00E+02
Ag108m,1.27E+02,3.E+00,,3.E+00
Cd113m,1.37E+01,TMSA,,TMSA
Sn121m,5.50E+01,7.E+05,,7.E+05
Sn126,1.00E+05,1.E-01,,1.E-01
I129,1.57E+07,2.E+00 - 1.E+01,8.00E-02,8.00E-02
Cs135,3.00E+06,TMSA,,TMSA
Cs137,3.00E+01,5.E+04,4.60E+03,4.60E+03
Ba133,1.05E+01,2.E+08,,2.E+08
La137,6.00E+04,2.E+02,,2.E+02
La138,1.06E+11,TMSA,,TMSA
Pm145,1.77E+01,TMSA,,TMSA
Pm146,5.50E+00,TMSA,,TMSA
Sm146,1.03E+08,TMSA,,TMSA
Sm147,1.06E+11,TMSA,,TMSA
Sm151,9.00E+01,5.E+07 - TMSA,,5.00E+07
