gameweek,team,goals,yellow_cards,red_cards,second_yellow_cards,date_of_match,matches_played,points,goals_for,goals_against,goal_difference,fairplay,index,rank
1,Atletico_Madrid,3,3.0,0.0,0.0,2023-08-14,1,3,3,1,2,3.0,10,1
1,Real_Madrid,2,1.0,0.0,0.0,2023-08-12,1,3,2,0,2,1.0,10,2
1,Osasuna,2,1.0,0.0,0.0,2023-08-13,1,3,2,0,2,1.0,10,3
1,Rayo_Vallecano,2,3.0,0.0,0.0,2023-08-11,1,3,2,0,2,3.0,10,4
1,Valencia,2,2.0,0.0,0.0,2023-08-11,1,3,2,1,1,2.0,10,5
1,Real_Betis,2,3.0,0.0,0.0,2023-08-13,1,3,2,1,1,3.0,10,6
1,Cadiz,1,3.0,1.0,0.0,2023-08-14,1,3,1,0,1,6.0,10,7
1,Real_Sociedad,1,2.0,0.0,0.0,2023-08-12,1,1,1,1,0,2.0,10,8
1,Mallorca,1,2.0,0.0,0.0,2023-08-12,1,1,1,1,0,2.0,10,9
1,Las_Palmas,1,3.0,0.0,0.0,2023-08-12,1,1,1,1,0,3.0,10,10
1,Girona,1,5.0,0.0,0.0,2023-08-12,1,1,1,1,0,5.0,10,11
1,Barcelona,0,2.0,1.0,0.0,2023-08-13,1,1,0,0,0,5.0,10,12
1,Getafe,0,8.0,1.0,1.0,2023-08-13,1,1,0,0,0,9.0,10,13
1,Villarreal,1,1.0,0.0,0.0,2023-08-13,1,0,1,2,-1,1.0,10,14
1,Sevilla,1,3.0,1.0,0.0,2023-08-11,1,0,1,2,-1,6.0,10,15
1,Alaves,0,2.0,0.0,0.0,2023-08-14,1,0,0,1,-1,2.0,10,16
1,Granada,1,1.0,0.0,0.0,2023-08-14,1,0,1,3,-2,1.0,10,17
1,Almeria,0,1.0,0.0,0.0,2023-08-11,1,0,0,2,-2,1.0,10,18
1,Celta_Vigo,0,1.0,0.0,0.0,2023-08-13,1,0,0,2,-2,1.0,10,19
1,Athletic_Club,0,3.0,0.0,0.0,2023-08-12,1,0,0,2,-2,3.0,10,20
2,Real_Madrid,3,1.0,0.0,0.0,2023-08-19,2,6,5,1,4,1.0,20,1
2,Rayo_Vallecano,2,4.0,0.0,0.0,2023-08-21,2,6,4,0,4,4.0,20,2
2,Valencia,1,2.0,0.0,0.0,2023-08-18,2,6,3,1,2,2.0,20,3
2,Atletico_Madrid,0,4.0,0.0,0.0,2023-08-20,2,4,3,1,2,4.0,20,4
2,Real_Betis,0,5.0,0.0,0.0,2023-08-20,2,4,2,1,1,5.0,20,5
2,Girona,3,7.0,0.0,0.0,2023-08-20,2,4,4,1,3,7.0,20,6
2,Barcelona,2,6.0,1.0,0.0,2023-08-20,2,4,2,0,2,9.0,20,7
2,Athletic_Club,2,8.0,1.0,1.0,2023-08-19,2,3,2,2,0,9.0,20,8
2,Cadiz,0,6.0,1.0,0.0,2023-08-20,2,3,1,2,-1,9.0,20,9
2,Alaves,4,3.0,0.0,0.0,2023-08-21,2,3,4,4,0,3.0,20,10
2,Villarreal,1,5.0,0.0,0.0,2023-08-18,2,3,2,2,0,5.0,20,11
2,Osasuna,0,2.0,1.0,0.0,2023-08-19,2,3,2,2,0,5.0,20,12
2,Real_Sociedad,1,4.0,0.0,0.0,2023-08-19,2,2,2,2,0,4.0,20,13
2,Las_Palmas,0,3.0,0.0,0.0,2023-08-18,2,1,1,2,-1,3.0,20,14
2,Mallorca,0,4.0,0.0,0.0,2023-08-18,2,1,1,2,-1,4.0,20,15
2,Celta_Vigo,1,2.0,0.0,0.0,2023-08-19,2,1,1,3,-2,2.0,20,16
2,Getafe,0,13.0,1.0,1.0,2023-08-20,2,1,0,3,-3,14.0,20,17
2,Sevilla,3,5.0,1.0,0.0,2023-08-21,2,0,4,6,-2,8.0,20,18
2,Almeria,1,2.0,0.0,0.0,2023-08-19,2,0,1,5,-4,2.0,20,19
2,Granada,0,3.0,1.0,0.0,2023-08-21,2,0,1,5,-4,6.0,20,20
3,Real_Madrid,1,4.0,0.0,0.0,2023-08-25,3,9,6,1,5,4.0,30,1
3,Atletico_Madrid,7,7.0,0.0,0.0,2023-08-28,3,7,10,1,9,7.0,30,2
3,Girona,2,8.0,0.0,0.0,2023-08-26,3,7,6,2,4,8.0,30,3
3,Barcelona,4,9.0,1.0,0.0,2023-08-27,3,7,6,3,3,12.0,30,4
3,Athletic_Club,4,12.0,1.0,1.0,2023-08-27,3,6,6,4,2,13.0,30,5
3,Osasuna,2,6.0,1.0,0.0,2023-08-27,3,6,4,3,1,9.0,30,6
3,Valencia,1,5.0,0.0,0.0,2023-08-27,3,6,4,3,1,5.0,30,7
3,Rayo_Vallecano,0,8.0,0.0,0.0,2023-08-28,3,6,4,7,-3,8.0,30,8
3,Real_Betis,2,7.0,0.0,0.0,2023-08-27,3,4,4,5,-1,7.0,30,9
3,Cadiz,1,6.0,2.0,0.0,2023-08-26,3,4,2,3,-1,12.0,30,10
3,Getafe,1,14.0,1.0,1.0,2023-08-28,3,4,1,3,-2,15.0,30,11
3,Real_Sociedad,0,8.0,0.0,0.0,2023-08-25,3,3,2,2,0,8.0,30,12
3,Villarreal,3,8.0,0.0,0.0,2023-08-27,3,3,5,6,-1,8.0,30,13
3,Alaves,0,5.0,0.0,0.0,2023-08-28,3,3,4,5,-1,5.0,30,14
3,Granada,3,5.0,1.0,0.0,2023-08-26,3,3,4,7,-3,8.0,30,15
3,Las_Palmas,0,4.0,0.0,0.0,2023-08-25,3,2,1,2,-1,4.0,30,16
3,Mallorca,2,11.0,0.0,0.0,2023-08-26,3,1,3,5,-2,11.0,30,17
3,Celta_Vigo,0,4.0,0.0,0.0,2023-08-25,3,1,1,4,-3,4.0,30,18
3,Almeria,1,7.0,1.0,1.0,2023-08-26,3,1,2,6,-4,8.0,30,19
3,Sevilla,1,6.0,1.0,0.0,2023-08-26,3,0,5,8,-3,9.0,30,20
4,Real_Madrid,2,6.0,0.0,0.0,2023-09-02,4,12,8,2,6,6.0,39,1
4,Girona,1,11.0,0.0,0.0,2023-09-03,4,10,7,2,5,11.0,39,2
4,Barcelona,2,12.0,1.0,0.0,2023-09-03,4,10,8,4,4,15.0,39,3
4,Athletic_Club,0,13.0,1.0,1.0,2023-09-03,4,7,6,4,2,14.0,39,4
4,Real_Betis,1,10.0,0.0,0.0,2023-09-02,4,7,5,5,0,10.0,39,5
4,Cadiz,3,11.0,2.0,0.0,2023-09-01,4,7,5,4,1,17.0,39,6
4,Osasuna,1,7.0,2.0,0.0,2023-09-03,4,6,5,5,0,13.0,39,7
4,Alaves,1,9.0,0.0,0.0,2023-09-02,4,6,5,5,0,9.0,39,8
4,Valencia,0,7.0,0.0,0.0,2023-09-02,4,6,4,4,0,7.0,39,9
4,Real_Sociedad,5,9.0,0.0,0.0,2023-09-02,4,6,7,5,2,9.0,39,10
4,Rayo_Vallecano,0,13.0,0.0,0.0,2023-09-02,4,6,4,8,-4,13.0,39,11
4,Celta_Vigo,3,5.0,0.0,0.0,2023-09-01,4,4,4,6,-2,5.0,39,12
4,Getafe,1,20.0,1.0,1.0,2023-09-02,4,4,2,5,-3,21.0,39,13
4,Villarreal,1,12.0,1.0,0.0,2023-09-01,4,3,6,9,-3,15.0,39,14
4,Granada,3,10.0,1.0,0.0,2023-09-02,4,3,7,12,-5,13.0,39,15
4,Mallorca,0,11.0,0.0,0.0,2023-09-03,4,2,3,5,-2,11.0,39,16
4,Las_Palmas,0,7.0,0.0,0.0,2023-09-03,4,2,1,3,-2,7.0,39,17
4,Almeria,2,8.0,1.0,1.0,2023-09-01,4,1,4,9,-5,9.0,39,18
5,Real_Madrid,2,9.0,0.0,0.0,2023-09-17,5,15,10,3,7,9.0,49,1
5,Barcelona,5,13.0,1.0,0.0,2023-09-16,5,13,13,4,9,16.0,49,2
5,Girona,4,14.0,0.0,0.0,2023-09-18,5,13,11,4,7,14.0,49,3
5,Athletic_Club,3,14.0,1.0,1.0,2023-09-16,5,10,9,4,5,15.0,49,4
5,Valencia,3,8.0,0.0,0.0,2023-09-16,5,9,7,4,3,8.0,49,5
5,Rayo_Vallecano,2,15.0,0.0,0.0,2023-09-15,5,9,6,8,-2,15.0,49,6
5,Atletico_Madrid,0,12.0,0.0,0.0,2023-09-16,4,7,10,4,6,12.0,49,7
5,Real_Betis,0,12.0,0.0,0.0,2023-09-16,5,7,5,10,-5,12.0,49,8
5,Cadiz,0,15.0,2.0,0.0,2023-09-16,5,7,5,7,-2,21.0,49,9
5,Getafe,3,26.0,1.0,1.0,2023-09-17,5,7,5,7,-2,27.0,49,10
5,Real_Sociedad,1,11.0,0.0,0.0,2023-09-17,5,6,8,7,1,11.0,49,11
5,Osasuna,2,9.0,2.0,0.0,2023-09-17,5,6,7,8,-1,15.0,49,12
5,Villarreal,2,14.0,1.0,0.0,2023-09-17,5,6,8,10,-2,17.0,49,13
5,Alaves,0,12.0,0.0,0.0,2023-09-15,5,6,5,7,-2,12.0,49,14
5,Mallorca,1,14.0,0.0,0.0,2023-09-16,5,5,4,5,-1,14.0,49,15
5,Celta_Vigo,0,6.0,0.0,0.0,2023-09-16,5,4,4,7,-3,6.0,49,16
5,Sevilla,1,9.0,1.0,0.0,2023-09-17,4,3,6,8,-2,12.0,49,17
5,Granada,2,13.0,1.0,0.0,2023-09-18,5,3,9,16,-7,16.0,49,18
5,Las_Palmas,0,12.0,0.0,0.0,2023-09-17,5,2,1,4,-3,12.0,49,19
5,Almeria,1,11.0,1.0,1.0,2023-09-17,5,1,5,11,-6,12.0,49,20
6,Barcelona,3,15.0,1.0,0.0,2023-09-23,6,16,16,6,10,18.0,59,1
6,Girona,5,15.0,0.0,0.0,2023-09-23,6,16,16,7,9,15.0,59,2
6,Real_Madrid,1,12.0,0.0,0.0,2023-09-24,6,15,11,6,5,12.0,59,3
6,Athletic_Club,2,16.0,1.0,1.0,2023-09-22,6,13,11,4,7,17.0,59,4
