gameweek,team,goals,yellow_cards,red_cards,second_yellow_cards,date_of_match,matches_played,points,goals_for,goals_against,goal_difference,fairplay,index,rank
1,Real_Madrid,4,2.0,0.0,0.0,2021-08-14,1,3,4,1,3,2.0,10,1
1,Sevilla,3,1.0,0.0,0.0,2021-08-15,1,3,3,0,3,1.0,10,2
1,Barcelona,4,2.0,0.0,0.0,2021-08-15,1,3,4,2,2,2.0,10,3
1,Atletico_Madrid,2,5.0,1.0,0.0,2021-08-15,1,3,2,1,1,8.0,10,4
1,Valencia,1,6.0,1.0,0.0,2021-08-13,1,3,1,0,1,9.0,10,5
1,Mallorca,1,1.0,0.0,0.0,2021-08-14,1,1,1,1,0,1.0,10,6
1,Cadiz,1,1.0,0.0,0.0,2021-08-14,1,1,1,1,0,1.0,10,7
1,Real_Betis,1,3.0,0.0,0.0,2021-08-14,1,1,1,1,0,3.0,10,8
1,Levante,1,5.0,0.0,0.0,2021-08-14,1,1,1,1,0,5.0,10,9
1,Granada,0,1.0,0.0,0.0,2021-08-16,1,1,0,0,0,1.0,10,10
1,Elche,0,2.0,0.0,0.0,2021-08-16,1,1,0,0,0,2.0,10,11
1,Athletic_Club,0,2.0,0.0,0.0,2021-08-16,1,1,0,0,0,2.0,10,12
1,Osasuna,0,3.0,0.0,0.0,2021-08-14,1,1,0,0,0,3.0,10,13
1,Espanyol,0,3.0,0.0,0.0,2021-08-14,1,1,0,0,0,3.0,10,14
1,Villarreal,0,5.0,1.0,1.0,2021-08-16,1,1,0,0,0,6.0,10,15
1,Celta_Vigo,1,4.0,1.0,0.0,2021-08-15,1,0,1,2,-1,7.0,10,16
1,Getafe,0,3.0,1.0,1.0,2021-08-13,1,0,0,1,-1,4.0,10,17
1,Real_Sociedad,2,4.0,0.0,0.0,2021-08-15,1,0,2,4,-2,4.0,10,18
1,Alaves,1,1.0,0.0,0.0,2021-08-14,1,0,1,4,-3,1.0,10,19
1,Rayo_Vallecano,0,0.0,1.0,0.0,2021-08-15,1,0,0,3,-3,3.0,10,20
2,Sevilla,1,3.0,0.0,0.0,2021-08-23,2,6,4,0,4,3.0,20,1
2,Atletico_Madrid,1,7.0,1.0,0.0,2021-08-22,2,6,3,1,2,10.0,20,2
2,Real_Madrid,3,4.0,0.0,0.0,2021-08-22,2,4,7,4,3,4.0,20,3
2,Barcelona,1,4.0,1.0,0.0,2021-08-21,2,4,5,3,2,7.0,20,4
2,Mallorca,1,4.0,0.0,0.0,2021-08-21,2,4,2,1,1,4.0,20,5
2,Valencia,1,8.0,1.0,0.0,2021-08-21,2,4,2,1,1,11.0,20,6
2,Real_Sociedad,1,7.0,0.0,0.0,2021-08-22,2,3,3,4,-1,7.0,20,7
2,Cadiz,1,1.0,0.0,0.0,2021-08-20,2,2,2,2,0,1.0,20,8
2,Espanyol,0,6.0,0.0,0.0,2021-08-21,2,2,0,0,0,6.0,20,9
2,Villarreal,0,9.0,1.0,1.0,2021-08-21,2,2,0,0,0,10.0,20,10
2,Real_Betis,1,7.0,0.0,0.0,2021-08-20,2,2,2,2,0,7.0,20,11
2,Levante,3,8.0,1.0,0.0,2021-08-22,2,2,4,4,0,11.0,20,12
2,Granada,1,5.0,0.0,0.0,2021-08-21,2,2,1,1,0,5.0,20,13
2,Osasuna,0,6.0,0.0,0.0,2021-08-23,2,2,0,0,0,6.0,20,14
2,Athletic_Club,1,3.0,0.0,0.0,2021-08-21,2,2,1,1,0,3.0,20,15
2,Celta_Vigo,0,7.0,1.0,0.0,2021-08-23,2,1,1,2,-1,10.0,20,16
2,Elche,0,4.0,0.0,0.0,2021-08-22,2,1,0,1,-1,4.0,20,17
2,Getafe,0,5.0,1.0,1.0,2021-08-23,2,0,0,2,-2,6.0,20,18
2,Alaves,0,4.0,1.0,1.0,2021-08-21,2,0,1,5,-4,5.0,20,19
2,Rayo_Vallecano,0,4.0,1.0,0.0,2021-08-22,2,0,0,4,-4,7.0,20,20
3,Real_Madrid,1,7.0,0.0,0.0,2021-08-28,3,7,8,4,4,7.0,30,1
3,Sevilla,1,3.0,0.0,0.0,2021-08-28,3,7,5,1,4,3.0,30,2
3,Valencia,3,9.0,1.0,0.0,2021-08-27,3,7,5,1,4,12.0,30,3
3,Barcelona,2,7.0,1.0,0.0,2021-08-29,3,7,7,4,3,10.0,30,4
3,Atletico_Madrid,2,12.0,1.0,0.0,2021-08-29,3,7,5,3,2,15.0,30,5
3,Mallorca,1,8.0,0.0,0.0,2021-08-27,3,7,3,1,2,8.0,30,6
3,Real_Sociedad,1,8.0,0.0,0.0,2021-08-28,3,6,4,4,0,8.0,30,7
3,Osasuna,3,6.0,0.0,0.0,2021-08-29,3,5,3,2,1,6.0,30,8
3,Athletic_Club,1,4.0,0.0,0.0,2021-08-28,3,5,2,1,1,4.0,30,9
