Sample,AveragePathLength
1,1
2,1
3,1
4,1.25
5,1.4
6,1.5
7,1.57143
8,1.625
9,1.55556
10,1.6
11,1.54545
12,1.5
13,1.46154
14,1.42857
15,1.4
16,1.4375
17,1.41176
18,1.44444
19,1.47368
20,1.45
21,1.42857
22,1.40909
23,1.3913
24,1.41667
25,1.44
26,1.42308
27,1.40741
28,1.42857
29,1.41379
30,1.4
31,1.41935
32,1.40625
33,1.39394
34,1.38235
35,1.37143
36,1.38889
37,1.40541
38,1.39474
39,1.38462
40,1.375
41,1.36585
42,1.35714
43,1.37209
44,1.36364
45,1.37778
46,1.36957
47,1.3617
48,1.35417
49,1.34694
50,1.36
51,1.35294
52,1.36538
53,1.37736
54,1.37037
55,1.36364
56,1.35714
57,1.36842
58,1.37931
59,1.38983
60,1.4
61,1.39344
62,1.40323
63,1.39683
64,1.39062
65,1.38462
66,1.37879
67,1.37313
68,1.38235
69,1.3913
70,1.38571
71,1.38028
72,1.375
73,1.36986
74,1.36486
75,1.37333
76,1.38158
77,1.38961
78,1.39744
79,1.40506
80,1.4
81,1.39506
82,1.39024
83,1.38554
84,1.38095
85,1.38824
86,1.38372
87,1.37931
88,1.38636
89,1.39326
90,1.4
91,1.40659
92,1.40217
93,1.39785
94,1.39362
95,1.38947
96,1.38542
97,1.38144
98,1.37755
99,1.37374
100,1.37
101,1.37624
102,1.38235
103,1.37864
104,1.375
105,1.38095
106,1.38679
107,1.39252
108,1.39815
109,1.40367
110,1.4
111,1.40541
112,1.41071
113,1.40708
114,1.40351
115,1.4087
116,1.40517
117,1.40171
118,1.39831
119,1.39496
120,1.4
121,1.39669
122,1.40164
123,1.39837
124,1.39516
125,1.392
126,1.38889
127,1.3937
128,1.39062
129,1.39535
130,1.4
131,1.39695
132,1.40152
133,1.3985
134,1.40299
135,1.4
136,1.39706
137,1.39416
138,1.3913
139,1.38849
140,1.39286
141,1.39007
142,1.39437
143,1.39161
144,1.39583
145,1.3931
146,1.39041
147,1.38776
148,1.38514
149,1.38926
150,1.38667
151,1.38411
152,1.38158
153,1.37908
154,1.38312
155,1.38065
156,1.37821
157,1.3758
158,1.37975
159,1.37736
160,1.38125
161,1.37888
162,1.38272
163,1.38037
164,1.38415
165,1.38182
166,1.37952
167,1.37725
168,1.38095
169,1.3787
170,1.38235
171,1.38012
172,1.37791
173,1.3815
174,1.37931
175,1.38286
176,1.38068
177,1.38418
178,1.38764
179,1.39106
180,1.38889
181,1.38674
182,1.38462
183,1.38251
184,1.38587
185,1.38919
186,1.3871
187,1.39037
188,1.3883
189,1.38624
190,1.38421
191,1.3822
192,1.38021
193,1.38342
194,1.38144
195,1.38462
196,1.38265
197,1.38071
198,1.37879
199,1.38191
200,1.385
201,1.38308
202,1.38614
203,1.38424
204,1.38235
205,1.38049
206,1.3835
207,1.38647
208,1.38462
209,1.38278
210,1.38095
211,1.37915
212,1.38208
213,1.38028
214,1.3785
215,1.37674
216,1.37963
217,1.38249
218,1.38532
219,1.38356
220,1.38182
221,1.38462
222,1.38288
223,1.38117
224,1.38393
225,1.38222
226,1.38053
227,1.38326
228,1.38158
229,1.37991
230,1.38261
231,1.38095
232,1.37931
233,1.37768
234,1.38034
235,1.37872
236,1.38136
237,1.38397
238,1.38235
239,1.38494
240,1.3875
241,1.38589
242,1.3843
243,1.38683
244,1.38934
245,1.38776
246,1.39024
247,1.38866
248,1.3871
249,1.38956
250,1.388
251,1.38645
252,1.38492
253,1.3834
254,1.38583
255,1.38824
256,1.38672
257,1.38521
258,1.3876
259,1.3861
260,1.38462
261,1.38314
262,1.3855
263,1.38783
264,1.39015
265,1.38868
266,1.38722
267,1.38577
268,1.38806
269,1.38662
270,1.38519
271,1.38376
272,1.38235
273,1.38095
274,1.37956
275,1.37818
276,1.38043
277,1.38267
278,1.38489
279,1.38351
280,1.38214
281,1.38078
282,1.37943
283,1.37809
284,1.37676
285,1.37895
286,1.37762
287,1.37631
288,1.37847
289,1.37716
290,1.37931
291,1.37801
292,1.38014
293,1.37884
294,1.38095
295,1.38305
296,1.38176
297,1.38047
298,1.37919
299,1.37793
300,1.37667
301,1.37542
302,1.37417
303,1.37294
304,1.375
305,1.37377
306,1.37582
307,1.37459
308,1.37662
309,1.3754
310,1.37742
311,1.37942
312,1.38141
313,1.38339
314,1.38535
315,1.3873
316,1.38608
317,1.38801
318,1.38994
319,1.38871
320,1.3875
321,1.38629
322,1.38509
323,1.387
324,1.38889
325,1.38769
326,1.3865
327,1.38838
328,1.3872
329,1.38906
330,1.38788
331,1.38973
332,1.38855
333,1.39039
334,1.38922
335,1.38806
336,1.38988
337,1.39169
338,1.39053
339,1.38938
340,1.39118
341,1.39003
342,1.38889
343,1.38776
344,1.38953
345,1.38841
346,1.39017
347,1.38905
348,1.38793
