gameweek,team,goals,yellow_cards,red_cards,second_yellow_cards,date_of_match,matches_played,points,goals_for,goals_against,goal_difference,fairplay,index,rank
1,Real_Madrid,3,3.0,1.0,1.0,2017-08-20,1,3,3,0,3,4.0,10,1
1,Barcelona,2,2.0,0.0,0.0,2017-08-20,1,3,2,0,2,2.0,10,2
1,Real_Sociedad,3,1.0,0.0,0.0,2017-08-19,1,3,3,2,1,1.0,10,3
1,Leganes,1,0.0,0.0,0.0,2017-08-18,1,3,1,0,1,0.0,10,4
1,Levante,1,1.0,0.0,0.0,2017-08-21,1,3,1,0,1,1.0,10,5
1,Valencia,1,3.0,0.0,0.0,2017-08-18,1,3,1,0,1,3.0,10,6
1,Eibar,1,3.0,0.0,0.0,2017-08-21,1,3,1,0,1,3.0,10,7
1,Girona,2,2.0,0.0,0.0,2017-08-19,1,1,2,2,0,2.0,10,8
1,Atletico_Madrid,2,4.0,1.0,0.0,2017-08-19,1,1,2,2,0,7.0,10,9
1,Sevilla,1,2.0,1.0,0.0,2017-08-19,1,1,1,1,0,5.0,10,10
1,Espanyol,1,4.0,0.0,0.0,2017-08-19,1,1,1,1,0,4.0,10,11
1,Athletic_Club,0,1.0,0.0,0.0,2017-08-20,1,1,0,0,0,1.0,10,12
1,Getafe,0,5.0,1.0,1.0,2017-08-20,1,1,0,0,0,6.0,10,13
1,Celta_Vigo,2,3.0,0.0,0.0,2017-08-19,1,0,2,3,-1,3.0,10,14
1,Alaves,0,1.0,0.0,0.0,2017-08-18,1,0,0,1,-1,1.0,10,15
1,Malaga,0,2.0,0.0,0.0,2017-08-21,1,0,0,1,-1,2.0,10,16
1,Villarreal,0,3.0,0.0,0.0,2017-08-21,1,0,0,1,-1,3.0,10,17
1,Las_Palmas,0,3.0,1.0,0.0,2017-08-18,1,0,0,1,-1,6.0,10,18
1,Real_Betis,0,1.0,0.0,0.0,2017-08-20,1,0,0,2,-2,1.0,10,19
1,Deportivo_La_Coruna,0,5.0,0.0,0.0,2017-08-20,1,0,0,3,-3,5.0,10,20
2,Real_Sociedad,3,3.0,0.0,0.0,2017-08-25,2,6,6,2,4,3.0,20,1
2,Barcelona,2,5.0,0.0,0.0,2017-08-26,2,6,4,0,4,5.0,20,2
2,Leganes,1,3.0,0.0,0.0,2017-08-27,2,6,2,0,2,3.0,20,3
2,Atletico_Madrid,5,5.0,1.0,0.0,2017-08-26,2,4,7,3,4,8.0,20,4
2,Real_Madrid,2,6.0,1.0,1.0,2017-08-27,2,4,5,2,3,7.0,20,5
2,Girona,1,5.0,0.0,0.0,2017-08-26,2,4,3,2,1,5.0,20,6
2,Valencia,2,8.0,0.0,0.0,2017-08-27,2,4,3,2,1,8.0,20,7
2,Levante,2,3.0,1.0,1.0,2017-08-26,2,4,3,2,1,4.0,20,8
2,Sevilla,1,3.0,1.0,0.0,2017-08-27,2,4,2,1,1,6.0,20,9
2,Athletic_Club,1,2.0,0.0,0.0,2017-08-27,2,4,1,0,1,2.0,20,10
2,Eibar,0,6.0,1.0,1.0,2017-08-27,2,3,1,1,0,7.0,20,11
2,Real_Betis,2,3.0,0.0,0.0,2017-08-25,2,3,2,3,-1,3.0,20,12
2,Espanyol,0,7.0,0.0,0.0,2017-08-27,2,1,1,2,-1,7.0,20,13
2,Getafe,0,5.0,1.0,1.0,2017-08-27,2,1,0,1,-1,6.0,20,14
2,Deportivo_La_Coruna,2,7.0,0.0,0.0,2017-08-26,2,1,2,5,-3,7.0,20,15
2,Celta_Vigo,1,5.0,0.0,0.0,2017-08-25,2,0,3,5,-2,5.0,20,16
2,Malaga,0,5.0,0.0,0.0,2017-08-26,2,0,0,2,-2,5.0,20,17
