,0
2019-07-01 00:00:00,7.93
2019-07-01 01:00:00,8.81
2019-07-01 02:00:00,6.17
2019-07-01 03:00:00,1.35
2019-07-01 04:00:00,4.72
2019-07-01 05:00:00,2.89
2019-07-01 06:00:00,4.6
2019-07-01 07:00:00,3.67
2019-07-01 08:00:00,3.25
2019-07-01 09:00:00,3.09
2019-07-01 10:00:00,3.02
2019-07-01 11:00:00,2.07
2019-07-01 12:00:00,2.15
2019-07-01 13:00:00,2.62
2019-07-01 14:00:00,3.68
2019-07-01 15:00:00,4.26
2019-07-01 16:00:00,4.47
2019-07-01 17:00:00,5.05
2019-07-01 18:00:00,5.31
2019-07-01 19:00:00,4.85
2019-07-01 20:00:00,4.44
2019-07-01 21:00:00,5.97
2019-07-01 22:00:00,6.2
2019-07-01 23:00:00,7.66
2019-07-02 00:00:00,8.76
2019-07-02 01:00:00,8.0
2019-07-02 02:00:00,6.92
2019-07-02 03:00:00,6.59
2019-07-02 04:00:00,6.95
2019-07-02 05:00:00,7.26
2019-07-02 06:00:00,7.03
2019-07-02 07:00:00,5.98
2019-07-02 08:00:00,5.78
2019-07-02 09:00:00,5.54
2019-07-02 10:00:00,5.12
2019-07-02 11:00:00,4.52
2019-07-02 12:00:00,4.18
2019-07-02 13:00:00,4.28
2019-07-02 14:00:00,4.63
2019-07-02 15:00:00,5.05
2019-07-02 16:00:00,5.32
2019-07-02 17:00:00,5.52
2019-07-02 18:00:00,6.16
2019-07-02 19:00:00,6.83
2019-07-02 20:00:00,7.06
2019-07-02 21:00:00,7.79
2019-07-02 22:00:00,8.69
2019-07-02 23:00:00,8.89
2019-07-03 00:00:00,9.18
2019-07-03 01:00:00,8.14
2019-07-03 02:00:00,8.57
2019-07-03 03:00:00,8.6
2019-07-03 04:00:00,8.49
2019-07-03 05:00:00,8.29
2019-07-03 06:00:00,8.08
2019-07-03 07:00:00,7.62
2019-07-03 08:00:00,6.62
2019-07-03 09:00:00,6.2
2019-07-03 10:00:00,6.08
2019-07-03 11:00:00,5.34
2019-07-03 12:00:00,5.62
2019-07-03 13:00:00,5.31
2019-07-03 14:00:00,5.71
2019-07-03 15:00:00,5.37
2019-07-03 16:00:00,5.76
2019-07-03 17:00:00,6.01
2019-07-03 18:00:00,6.63
2019-07-03 19:00:00,7.53
2019-07-03 20:00:00,8.63
2019-07-03 21:00:00,9.51
2019-07-03 22:00:00,9.67
2019-07-03 23:00:00,9.73
2019-07-04 00:00:00,9.68
2019-07-04 01:00:00,9.39
2019-07-04 02:00:00,9.0
2019-07-04 03:00:00,8.67
2019-07-04 04:00:00,8.47
2019-07-04 05:00:00,8.51
2019-07-04 06:00:00,8.09
2019-07-04 07:00:00,7.23
2019-07-04 08:00:00,6.07
2019-07-04 09:00:00,5.42
2019-07-04 10:00:00,5.06
2019-07-04 11:00:00,4.64
2019-07-04 12:00:00,4.81
2019-07-04 13:00:00,4.45
2019-07-04 14:00:00,4.06
2019-07-04 15:00:00,3.76
2019-07-04 16:00:00,3.66
2019-07-04 17:00:00,3.97
2019-07-04 18:00:00,4.22
2019-07-04 19:00:00,4.47
2019-07-04 20:00:00,5.8
2019-07-04 21:00:00,7.0
2019-07-04 22:00:00,7.26
2019-07-04 23:00:00,7.46
2019-07-05 00:00:00,7.12
2019-07-05 01:00:00,6.45
2019-07-05 02:00:00,6.18
2019-07-05 03:00:00,6.07
2019-07-05 04:00:00,5.72
2019-07-05 05:00:00,4.99
2019-07-05 06:00:00,3.75
2019-07-05 07:00:00,3.26
2019-07-05 08:00:00,2.59
2019-07-05 09:00:00,2.34
2019-07-05 10:00:00,2.69
2019-07-05 11:00:00,2.67
2019-07-05 12:00:00,2.21
2019-07-05 13:00:00,1.82
2019-07-05 14:00:00,1.71
2019-07-05 15:00:00,1.9
2019-07-05 16:00:00,2.59
2019-07-05 17:00:00,2.66
2019-07-05 18:00:00,2.77
2019-07-05 19:00:00,3.64
2019-07-05 20:00:00,4.59
2019-07-05 21:00:00,4.94
2019-07-05 22:00:00,4.88
2019-07-05 23:00:00,4.75
2019-07-06 00:00:00,4.74
2019-07-06 01:00:00,5.02
2019-07-06 02:00:00,4.98
2019-07-06 03:00:00,4.71
2019-07-06 04:00:00,4.18
2019-07-06 05:00:00,3.78
2019-07-06 06:00:00,3.83
2019-07-06 07:00:00,4.06
2019-07-06 08:00:00,3.02
2019-07-06 09:00:00,2.26
2019-07-06 10:00:00,1.72
2019-07-06 11:00:00,1.39
2019-07-06 12:00:00,1.84
2019-07-06 13:00:00,2.48
2019-07-06 14:00:00,2.78
2019-07-06 15:00:00,3.05
2019-07-06 16:00:00,3.58
2019-07-06 17:00:00,4.25
2019-07-06 18:00:00,4.68
2019-07-06 19:00:00,4.7
2019-07-06 20:00:00,5.37
2019-07-06 21:00:00,6.09
2019-07-06 22:00:00,6.18
2019-07-06 23:00:00,6.45
2019-07-07 00:00:00,7.59
2019-07-07 01:00:00,6.91
2019-07-07 02:00:00,5.41
2019-07-07 03:00:00,6.09
2019-07-07 04:00:00,6.5
2019-07-07 05:00:00,6.15
2019-07-07 06:00:00,5.66
2019-07-07 07:00:00,4.12
2019-07-07 08:00:00,3.09
2019-07-07 09:00:00,2.92
2019-07-07 10:00:00,2.61
2019-07-07 11:00:00,1.81
2019-07-07 12:00:00,1.27
2019-07-07 13:00:00,2.03
2019-07-07 14:00:00,3.47
2019-07-07 15:00:00,6.39
2019-07-07 16:00:00,7.31
2019-07-07 17:00:00,7.53
2019-07-07 18:00:00,7.28
2019-07-07 19:00:00,6.65
2019-07-07 20:00:00,6.16
2019-07-07 21:00:00,6.06
2019-07-07 22:00:00,6.1
2019-07-07 23:00:00,5.57
2019-07-08 00:00:00,5.55
2019-07-08 01:00:00,6.15
2019-07-08 02:00:00,6.11
2019-07-08 03:00:00,5.74
2019-07-08 04:00:00,6.32
2019-07-08 05:00:00,6.66
2019-07-08 06:00:00,6.63
2019-07-08 07:00:00,6.01
2019-07-08 08:00:00,5.76
2019-07-08 09:00:00,5.54
2019-07-08 10:00:00,6.17
2019-07-08 11:00:00,5.38
2019-07-08 12:00:00,5.16
2019-07-08 13:00:00,5.25
2019-07-08 14:00:00,5.57
2019-07-08 15:00:00,5.7
2019-07-08 16:00:00,6.22
2019-07-08 17:00:00,6.92
2019-07-08 18:00:00,7.62
2019-07-08 19:00:00,7.43
2019-07-08 20:00:00,7.98
2019-07-08 21:00:00,8.54
2019-07-08 22:00:00,8.66
2019-07-08 23:00:00,8.16
2019-07-09 00:00:00,7.93
2019-07-09 01:00:00,7.58
2019-07-09 02:00:00,7.44
2019-07-09 03:00:00,7.16
2019-07-09 04:00:00,6.5
2019-07-09 05:00:00,6.68
2019-07-09 06:00:00,6.98
2019-07-09 07:00:00,6.06
2019-07-09 08:00:00,5.86
2019-07-09 09:00:00,6.22
2019-07-09 10:00:00,6.35
2019-07-09 11:00:00,5.42
2019-07-09 12:00:00,5.4
2019-07-09 13:00:00,5.43
2019-07-09 14:00:00,6.08
2019-07-09 15:00:00,6.73
2019-07-09 16:00:00,6.96
2019-07-09 17:00:00,7.2
2019-07-09 18:00:00,7.45
2019-07-09 19:00:00,7.26
2019-07-09 20:00:00,6.6
2019-07-09 21:00:00,6.78
2019-07-09 22:00:00,7.32
2019-07-09 23:00:00,7.25
2019-07-10 00:00:00,7.15
2019-07-10 01:00:00,6.88
2019-07-10 02:00:00,6.33
2019-07-10 03:00:00,6.25
2019-07-10 04:00:00,6.32
2019-07-10 05:00:00,5.75
2019-07-10 06:00:00,4.96
2019-07-10 07:00:00,3.76
2019-07-10 08:00:00,2.93
2019-07-10 09:00:00,2.72
2019-07-10 10:00:00,2.38
2019-07-10 11:00:00,1.65
2019-07-10 12:00:00,1.51
2019-07-10 13:00:00,1.23
2019-07-10 14:00:00,1.27
2019-07-10 15:00:00,1.54
2019-07-10 16:00:00,1.58
2019-07-10 17:00:00,1.51
2019-07-10 18:00:00,1.61
2019-07-10 19:00:00,1.76
2019-07-10 20:00:00,1.83
2019-07-10 21:00:00,2.25
2019-07-10 22:00:00,2.67
2019-07-10 23:00:00,2.18
2019-07-11 00:00:00,2.67
2019-07-11 01:00:00,2.58
2019-07-11 02:00:00,2.68
2019-07-11 03:00:00,2.36
2019-07-11 04:00:00,2.12
2019-07-11 05:00:00,1.79
2019-07-11 06:00:00,1.8
2019-07-11 07:00:00,1.63
2019-07-11 08:00:00,1.27
2019-07-11 09:00:00,0.77
2019-07-11 10:00:00,0.9
2019-07-11 11:00:00,1.53
2019-07-11 12:00:00,1.69
2019-07-11 13:00:00,2.33
2019-07-11 14:00:00,2.5
2019-07-11 15:00:00,2.42
2019-07-11 16:00:00,2.55
2019-07-11 17:00:00,2.25
2019-07-11 18:00:00,1.62
2019-07-11 19:00:00,2.32
2019-07-11 20:00:00,3.75
2019-07-11 21:00:00,4.63
2019-07-11 22:00:00,4.83
2019-07-11 23:00:00,4.73
2019-07-12 00:00:00,2.74
2019-07-12 01:00:00,3.27
2019-07-12 02:00:00,6.65
2019-07-12 03:00:00,8.55
2019-07-12 04:00:00,7.94
2019-07-12 05:00:00,6.49
2019-07-12 06:00:00,6.41
2019-07-12 07:00:00,5.48
2019-07-12 08:00:00,5.01
2019-07-12 09:00:00,5.18
2019-07-12 10:00:00,5.7
2019-07-12 11:00:00,3.83
2019-07-12 12:00:00,4.1
2019-07-12 13:00:00,5.55
2019-07-12 14:00:00,6.88
2019-07-12 15:00:00,7.95
2019-07-12 16:00:00,8.37
2019-07-12 17:00:00,9.22
2019-07-12 18:00:00,9.2
2019-07-12 19:00:00,8.25
2019-07-12 20:00:00,7.36
2019-07-12 21:00:00,6.36
2019-07-12 22:00:00,5.43
2019-07-12 23:00:00,4.2
2019-07-13 00:00:00,3.93
2019-07-13 01:00:00,4.02
2019-07-13 02:00:00,4.69
2019-07-13 03:00:00,4.25
2019-07-13 04:00:00,3.69
2019-07-13 05:00:00,4.27
2019-07-13 06:00:00,4.73
2019-07-13 07:00:00,3.94
2019-07-13 08:00:00,4.87
2019-07-13 09:00:00,5.43
2019-07-13 10:00:00,5.31
2019-07-13 11:00:00,3.96
2019-07-13 12:00:00,4.01
2019-07-13 13:00:00,3.99
2019-07-13 14:00:00,4.55
2019-07-13 15:00:00,5.34
2019-07-13 16:00:00,6.0
2019-07-13 17:00:00,6.29
2019-07-13 18:00:00,6.35
2019-07-13 19:00:00,6.34
2019-07-13 20:00:00,6.39
2019-07-13 21:00:00,7.03
2019-07-13 22:00:00,6.92
2019-07-13 23:00:00,6.34
2019-07-14 00:00:00,6.54
2019-07-14 01:00:00,6.39
2019-07-14 02:00:00,6.65
2019-07-14 03:00:00,6.75
2019-07-14 04:00:00,6.47
2019-07-14 05:00:00,6.18
2019-07-14 06:00:00,6.18
2019-07-14 07:00:00,6.27
2019-07-14 08:00:00,6.57
2019-07-14 09:00:00,6.56
2019-07-14 10:00:00,6.71
2019-07-14 11:00:00,5.6
2019-07-14 12:00:00,6.16
2019-07-14 13:00:00,6.6
2019-07-14 14:00:00,6.65
2019-07-14 15:00:00,7.56
2019-07-14 16:00:00,8.43
2019-07-14 17:00:00,9.08
2019-07-14 18:00:00,9.34
2019-07-14 19:00:00,8.81
2019-07-14 20:00:00,8.05
2019-07-14 21:00:00,7.86
2019-07-14 22:00:00,7.63
2019-07-14 23:00:00,7.21
2019-07-15 00:00:00,7.26
2019-07-15 01:00:00,7.45
2019-07-15 02:00:00,7.19
2019-07-15 03:00:00,6.89
2019-07-15 04:00:00,6.95
2019-07-15 05:00:00,7.27
2019-07-15 06:00:00,7.04
2019-07-15 07:00:00,6.26
2019-07-15 08:00:00,6.04
2019-07-15 09:00:00,6.11
2019-07-15 10:00:00,6.19
2019-07-15 11:00:00,4.38
2019-07-15 12:00:00,4.7
2019-07-15 13:00:00,4.9
2019-07-15 14:00:00,5.25
2019-07-15 15:00:00,5.55
2019-07-15 16:00:00,5.56
2019-07-15 17:00:00,5.49
2019-07-15 18:00:00,5.6
2019-07-15 19:00:00,6.06
2019-07-15 20:00:00,7.05
2019-07-15 21:00:00,7.63
2019-07-15 22:00:00,7.52
2019-07-15 23:00:00,7.37
2019-07-16 00:00:00,7.0
2019-07-16 01:00:00,6.43
2019-07-16 02:00:00,5.85
2019-07-16 03:00:00,5.54
2019-07-16 04:00:00,5.4
2019-07-16 05:00:00,5.12
2019-07-16 06:00:00,4.7
2019-07-16 07:00:00,3.71
2019-07-16 08:00:00,3.14
2019-07-16 09:00:00,2.79
2019-07-16 10:00:00,2.43
2019-07-16 11:00:00,2.31
2019-07-16 12:00:00,1.88
2019-07-16 13:00:00,1.53
2019-07-16 14:00:00,1.81
2019-07-16 15:00:00,2.33
2019-07-16 16:00:00,2.62
2019-07-16 17:00:00,2.85
2019-07-16 18:00:00,3.11
2019-07-16 19:00:00,3.41
2019-07-16 20:00:00,4.06
2019-07-16 21:00:00,5.04
2019-07-16 22:00:00,5.79
2019-07-16 23:00:00,5.11
2019-07-17 00:00:00,5.17
2019-07-17 01:00:00,5.11
2019-07-17 02:00:00,4.88
2019-07-17 03:00:00,4.58
2019-07-17 04:00:00,4.16
2019-07-17 05:00:00,3.79
2019-07-17 06:00:00,3.28
