,0
2019-07-01 00:00:00,338.5
2019-07-01 01:00:00,349.5
2019-07-01 02:00:00,347.5
2019-07-01 03:00:00,338.1
2019-07-01 04:00:00,325.3
2019-07-01 05:00:00,353.3
2019-07-01 06:00:00,345.5
2019-07-01 07:00:00,345.1
2019-07-01 08:00:00,329.1
2019-07-01 09:00:00,316.3
2019-07-01 10:00:00,311.6
2019-07-01 11:00:00,345.2
2019-07-01 12:00:00,348.8
2019-07-01 13:00:00,307.7
2019-07-01 14:00:00,305.5
2019-07-01 15:00:00,323.6
2019-07-01 16:00:00,330.8
2019-07-01 17:00:00,319.8
2019-07-01 18:00:00,330.1
2019-07-01 19:00:00,335.7
2019-07-01 20:00:00,358.9
2019-07-01 21:00:00,8.0
2019-07-01 22:00:00,5.0
2019-07-01 23:00:00,348.4
2019-07-02 00:00:00,353.2
2019-07-02 01:00:00,359.2
2019-07-02 02:00:00,6.7
2019-07-02 03:00:00,14.2
2019-07-02 04:00:00,18.5
2019-07-02 05:00:00,25.6
2019-07-02 06:00:00,29.9
2019-07-02 07:00:00,30.0
2019-07-02 08:00:00,34.0
2019-07-02 09:00:00,36.9
2019-07-02 10:00:00,36.7
2019-07-02 11:00:00,34.5
2019-07-02 12:00:00,27.7
2019-07-02 13:00:00,24.3
2019-07-02 14:00:00,20.7
2019-07-02 15:00:00,19.3
2019-07-02 16:00:00,20.2
2019-07-02 17:00:00,22.2
2019-07-02 18:00:00,20.4
2019-07-02 19:00:00,18.3
2019-07-02 20:00:00,17.6
2019-07-02 21:00:00,18.0
2019-07-02 22:00:00,20.7
2019-07-02 23:00:00,24.4
2019-07-03 00:00:00,26.2
2019-07-03 01:00:00,27.3
2019-07-03 02:00:00,26.6
2019-07-03 03:00:00,29.3
2019-07-03 04:00:00,31.7
2019-07-03 05:00:00,33.7
2019-07-03 06:00:00,35.4
2019-07-03 07:00:00,38.1
2019-07-03 08:00:00,42.2
2019-07-03 09:00:00,45.0
2019-07-03 10:00:00,45.4
2019-07-03 11:00:00,33.6
2019-07-03 12:00:00,41.5
2019-07-03 13:00:00,43.9
2019-07-03 14:00:00,39.9
2019-07-03 15:00:00,43.9
2019-07-03 16:00:00,40.7
2019-07-03 17:00:00,35.0
2019-07-03 18:00:00,29.1
2019-07-03 19:00:00,24.1
2019-07-03 20:00:00,23.0
2019-07-03 21:00:00,25.6
2019-07-03 22:00:00,29.4
2019-07-03 23:00:00,29.6
2019-07-04 00:00:00,35.0
2019-07-04 01:00:00,39.8
2019-07-04 02:00:00,41.7
2019-07-04 03:00:00,43.7
2019-07-04 04:00:00,42.8
2019-07-04 05:00:00,38.5
2019-07-04 06:00:00,40.0
2019-07-04 07:00:00,43.0
2019-07-04 08:00:00,49.4
2019-07-04 09:00:00,51.7
2019-07-04 10:00:00,46.7
2019-07-04 11:00:00,42.2
2019-07-04 12:00:00,39.6
2019-07-04 13:00:00,40.1
2019-07-04 14:00:00,41.7
2019-07-04 15:00:00,47.0
2019-07-04 16:00:00,37.6
2019-07-04 17:00:00,30.8
2019-07-04 18:00:00,27.9
2019-07-04 19:00:00,17.3
2019-07-04 20:00:00,11.1
2019-07-04 21:00:00,12.1
2019-07-04 22:00:00,15.8
2019-07-04 23:00:00,13.9
2019-07-05 00:00:00,17.3
2019-07-05 01:00:00,21.3
2019-07-05 02:00:00,24.1
2019-07-05 03:00:00,22.9
2019-07-05 04:00:00,23.5
2019-07-05 05:00:00,30.0
2019-07-05 06:00:00,33.2
2019-07-05 07:00:00,24.8
2019-07-05 08:00:00,20.0
2019-07-05 09:00:00,25.0
2019-07-05 10:00:00,31.0
2019-07-05 11:00:00,41.8
2019-07-05 12:00:00,27.7
2019-07-05 13:00:00,22.1
2019-07-05 14:00:00,15.8
2019-07-05 15:00:00,4.5
2019-07-05 16:00:00,4.6
2019-07-05 17:00:00,10.4
2019-07-05 18:00:00,14.6
2019-07-05 19:00:00,20.1
2019-07-05 20:00:00,24.5
2019-07-05 21:00:00,27.5
2019-07-05 22:00:00,31.9
2019-07-05 23:00:00,49.5
2019-07-06 00:00:00,53.3
2019-07-06 01:00:00,50.5
2019-07-06 02:00:00,59.3
2019-07-06 03:00:00,74.2
2019-07-06 04:00:00,89.9
2019-07-06 05:00:00,110.3
2019-07-06 06:00:00,132.2
2019-07-06 07:00:00,147.0
2019-07-06 08:00:00,157.8
2019-07-06 09:00:00,156.8
2019-07-06 10:00:00,159.7
2019-07-06 11:00:00,322.2
2019-07-06 12:00:00,281.8
2019-07-06 13:00:00,279.0
2019-07-06 14:00:00,283.2
2019-07-06 15:00:00,279.7
2019-07-06 16:00:00,284.8
2019-07-06 17:00:00,300.5
2019-07-06 18:00:00,309.7
2019-07-06 19:00:00,321.9
2019-07-06 20:00:00,335.1
2019-07-06 21:00:00,346.0
2019-07-06 22:00:00,356.5
2019-07-06 23:00:00,346.1
2019-07-07 00:00:00,353.6
2019-07-07 01:00:00,7.2
2019-07-07 02:00:00,27.4
2019-07-07 03:00:00,36.1
2019-07-07 04:00:00,26.0
2019-07-07 05:00:00,21.8
2019-07-07 06:00:00,25.5
2019-07-07 07:00:00,26.8
2019-07-07 08:00:00,24.4
2019-07-07 09:00:00,25.5
2019-07-07 10:00:00,18.2
2019-07-07 11:00:00,42.0
2019-07-07 12:00:00,0.2
2019-07-07 13:00:00,328.1
2019-07-07 14:00:00,336.0
2019-07-07 15:00:00,6.8
2019-07-07 16:00:00,17.2
2019-07-07 17:00:00,21.4
2019-07-07 18:00:00,24.7
2019-07-07 19:00:00,29.9
2019-07-07 20:00:00,32.7
2019-07-07 21:00:00,36.1
2019-07-07 22:00:00,39.1
2019-07-07 23:00:00,32.0
2019-07-08 00:00:00,31.5
2019-07-08 01:00:00,29.4
2019-07-08 02:00:00,27.9
2019-07-08 03:00:00,24.9
2019-07-08 04:00:00,24.3
2019-07-08 05:00:00,26.5
2019-07-08 06:00:00,30.3
2019-07-08 07:00:00,35.2
2019-07-08 08:00:00,37.6
2019-07-08 09:00:00,38.8
2019-07-08 10:00:00,46.9
2019-07-08 11:00:00,50.8
2019-07-08 12:00:00,50.9
2019-07-08 13:00:00,44.2
2019-07-08 14:00:00,37.7
2019-07-08 15:00:00,34.3
2019-07-08 16:00:00,29.7
2019-07-08 17:00:00,27.3
2019-07-08 18:00:00,26.6
2019-07-08 19:00:00,25.6
2019-07-08 20:00:00,22.1
2019-07-08 21:00:00,23.1
2019-07-08 22:00:00,25.1
2019-07-08 23:00:00,25.5
2019-07-09 00:00:00,25.0
2019-07-09 01:00:00,25.7
2019-07-09 02:00:00,28.3
2019-07-09 03:00:00,32.9
2019-07-09 04:00:00,40.1
2019-07-09 05:00:00,41.2
2019-07-09 06:00:00,39.1
2019-07-09 07:00:00,41.7
2019-07-09 08:00:00,45.1
2019-07-09 09:00:00,45.2
2019-07-09 10:00:00,43.3
2019-07-09 11:00:00,37.7
2019-07-09 12:00:00,36.2
2019-07-09 13:00:00,39.7
2019-07-09 14:00:00,37.2
2019-07-09 15:00:00,33.8
2019-07-09 16:00:00,31.5
2019-07-09 17:00:00,29.6
2019-07-09 18:00:00,29.2
2019-07-09 19:00:00,29.6
2019-07-09 20:00:00,29.8
2019-07-09 21:00:00,31.1
2019-07-09 22:00:00,32.9
2019-07-09 23:00:00,33.4
2019-07-10 00:00:00,35.2
2019-07-10 01:00:00,37.2
2019-07-10 02:00:00,36.8
2019-07-10 03:00:00,38.4
2019-07-10 04:00:00,40.7
2019-07-10 05:00:00,46.6
2019-07-10 06:00:00,52.8
2019-07-10 07:00:00,58.3
2019-07-10 08:00:00,71.6
2019-07-10 09:00:00,87.1
2019-07-10 10:00:00,83.8
2019-07-10 11:00:00,71.4
2019-07-10 12:00:00,54.7
2019-07-10 13:00:00,33.2
2019-07-10 14:00:00,18.2
2019-07-10 15:00:00,19.7
2019-07-10 16:00:00,25.7
2019-07-10 17:00:00,25.5
2019-07-10 18:00:00,19.9
2019-07-10 19:00:00,32.2
2019-07-10 20:00:00,36.7
2019-07-10 21:00:00,37.6
2019-07-10 22:00:00,64.9
2019-07-10 23:00:00,97.5
2019-07-11 00:00:00,115.8
2019-07-11 01:00:00,128.9
2019-07-11 02:00:00,134.4
2019-07-11 03:00:00,140.2
2019-07-11 04:00:00,154.0
2019-07-11 05:00:00,179.0
2019-07-11 06:00:00,200.1
2019-07-11 07:00:00,203.1
2019-07-11 08:00:00,217.7
2019-07-11 09:00:00,253.2
2019-07-11 10:00:00,280.5
2019-07-11 11:00:00,129.8
2019-07-11 12:00:00,132.3
2019-07-11 13:00:00,152.8
2019-07-11 14:00:00,174.0
2019-07-11 15:00:00,195.9
2019-07-11 16:00:00,232.7
2019-07-11 17:00:00,230.0
2019-07-11 18:00:00,198.8
2019-07-11 19:00:00,156.7
2019-07-11 20:00:00,149.0
2019-07-11 21:00:00,153.7
2019-07-11 22:00:00,163.7
2019-07-11 23:00:00,188.0
2019-07-12 00:00:00,228.2
2019-07-12 01:00:00,306.4
2019-07-12 02:00:00,332.5
2019-07-12 03:00:00,338.1
2019-07-12 04:00:00,331.9
2019-07-12 05:00:00,322.3
2019-07-12 06:00:00,305.7
2019-07-12 07:00:00,300.4
2019-07-12 08:00:00,294.2
2019-07-12 09:00:00,282.2
2019-07-12 10:00:00,280.3
2019-07-12 11:00:00,282.7
2019-07-12 12:00:00,280.9
2019-07-12 13:00:00,272.8
2019-07-12 14:00:00,271.0
2019-07-12 15:00:00,276.6
2019-07-12 16:00:00,281.8
2019-07-12 17:00:00,290.1
2019-07-12 18:00:00,302.8
2019-07-12 19:00:00,319.7
2019-07-12 20:00:00,338.2
2019-07-12 21:00:00,352.3
2019-07-12 22:00:00,357.1
2019-07-12 23:00:00,2.2
2019-07-13 00:00:00,351.8
2019-07-13 01:00:00,334.0
2019-07-13 02:00:00,329.5
2019-07-13 03:00:00,338.8
2019-07-13 04:00:00,329.5
2019-07-13 05:00:00,323.3
2019-07-13 06:00:00,327.9
2019-07-13 07:00:00,339.0
2019-07-13 08:00:00,358.2
2019-07-13 09:00:00,0.4
2019-07-13 10:00:00,355.2
2019-07-13 11:00:00,356.8
2019-07-13 12:00:00,352.9
2019-07-13 13:00:00,358.9
2019-07-13 14:00:00,356.6
2019-07-13 15:00:00,352.2
2019-07-13 16:00:00,357.5
2019-07-13 17:00:00,0.2
2019-07-13 18:00:00,2.5
2019-07-13 19:00:00,4.9
2019-07-13 20:00:00,7.9
2019-07-13 21:00:00,12.2
2019-07-13 22:00:00,15.8
2019-07-13 23:00:00,8.6
2019-07-14 00:00:00,9.6
2019-07-14 01:00:00,12.5
2019-07-14 02:00:00,14.6
2019-07-14 03:00:00,16.6
2019-07-14 04:00:00,18.4
2019-07-14 05:00:00,16.0
2019-07-14 06:00:00,13.3
2019-07-14 07:00:00,15.1
2019-07-14 08:00:00,22.7
2019-07-14 09:00:00,19.4
2019-07-14 10:00:00,16.5
2019-07-14 11:00:00,27.9
2019-07-14 12:00:00,22.9
2019-07-14 13:00:00,13.9
2019-07-14 14:00:00,8.5
2019-07-14 15:00:00,10.1
2019-07-14 16:00:00,11.5
2019-07-14 17:00:00,13.3
2019-07-14 18:00:00,18.3
2019-07-14 19:00:00,22.5
2019-07-14 20:00:00,25.4
2019-07-14 21:00:00,25.5
2019-07-14 22:00:00,27.5
2019-07-14 23:00:00,26.6
2019-07-15 00:00:00,23.6
2019-07-15 01:00:00,20.5
2019-07-15 02:00:00,21.2
2019-07-15 03:00:00,20.7
2019-07-15 04:00:00,18.1
2019-07-15 05:00:00,17.2
2019-07-15 06:00:00,18.8
2019-07-15 07:00:00,21.4
2019-07-15 08:00:00,27.3
2019-07-15 09:00:00,29.5
2019-07-15 10:00:00,28.9
2019-07-15 11:00:00,33.4
2019-07-15 12:00:00,21.6
2019-07-15 13:00:00,18.2
2019-07-15 14:00:00,14.0
2019-07-15 15:00:00,15.9
2019-07-15 16:00:00,18.1
2019-07-15 17:00:00,19.3
2019-07-15 18:00:00,18.7
2019-07-15 19:00:00,17.1
2019-07-15 20:00:00,17.3
2019-07-15 21:00:00,18.1
2019-07-15 22:00:00,20.0
2019-07-15 23:00:00,20.0
2019-07-16 00:00:00,23.0
2019-07-16 01:00:00,27.9
2019-07-16 02:00:00,32.2
2019-07-16 03:00:00,35.5
2019-07-16 04:00:00,39.2
2019-07-16 05:00:00,41.8
2019-07-16 06:00:00,40.0
2019-07-16 07:00:00,33.8
2019-07-16 08:00:00,34.3
2019-07-16 09:00:00,34.3
2019-07-16 10:00:00,31.1
2019-07-16 11:00:00,40.1
2019-07-16 12:00:00,30.1
2019-07-16 13:00:00,10.7
2019-07-16 14:00:00,342.3
2019-07-16 15:00:00,339.4
2019-07-16 16:00:00,344.5
2019-07-16 17:00:00,348.2
2019-07-16 18:00:00,354.4
2019-07-16 19:00:00,0.2
2019-07-16 20:00:00,7.5
2019-07-16 21:00:00,13.9
2019-07-16 22:00:00,21.2
2019-07-16 23:00:00,21.7
2019-07-17 00:00:00,23.9
2019-07-17 01:00:00,25.7
2019-07-17 02:00:00,31.5
2019-07-17 03:00:00,37.7
2019-07-17 04:00:00,40.2
2019-07-17 05:00:00,42.4
2019-07-17 06:00:00,41.1
2019-07-17 07:00:00,41.3
2019-07-17 08:00:00,31.7
2019-07-17 09:00:00,15.6
2019-07-17 10:00:00,0.5
2019-07-17 11:00:00,345.8
2019-07-17 12:00:00,317.7
2019-07-17 13:00:00,302.5
2019-07-17 14:00:00,295.6
2019-07-17 15:00:00,295.3
2019-07-17 16:00:00,297.5
2019-07-17 17:00:00,297.6
2019-07-17 18:00:00,299.1
2019-07-17 19:00:00,317.4
2019-07-17 20:00:00,11.8
2019-07-17 21:00:00,55.2
2019-07-17 22:00:00,78.5
2019-07-17 23:00:00,111.2
2019-07-18 00:00:00,135.3
2019-07-18 01:00:00,147.6
2019-07-18 02:00:00,137.2
2019-07-18 03:00:00,110.1
2019-07-18 04:00:00,355.9
2019-07-18 05:00:00,352.5
2019-07-18 06:00:00,354.3
2019-07-18 07:00:00,349.7
2019-07-18 08:00:00,338.1
2019-07-18 09:00:00,330.3
2019-07-18 10:00:00,321.4
2019-07-18 11:00:00,321.3
2019-07-18 12:00:00,289.9
2019-07-18 13:00:00,262.2
2019-07-18 14:00:00,258.1
2019-07-18 15:00:00,260.0
