WindSpeed[m/s],Power[MW],Ct
3,0.0516203274,0.814
3.5392,0.1233681588,0.8042
4.0485,0.213241509,0.7982
4.5267,0.318837998,0.7945
4.973,0.43595648670000003,0.7913
5.3862,0.5608983052,0.7861
5.7654,0.688906312,0.776
6.1098,0.8191257759,0.7664
6.4186,0.9497236726,0.7664
6.6912,1.075927005,0.7664
6.9269,1.193682699,0.7664
7.1252,1.299172102,0.7664
7.2857,1.388952513,0.7664
7.408,1.460081742,0.7664
7.4919,1.510222643,0.7664
7.5371,1.537725022,0.7664
7.5435,1.5416829330000001,0.7664
7.5758,1.561569465,0.7664
7.6468,1.605876078,0.7664
7.7563,1.675862931,0.7664
7.9041,1.773500601,0.7664
8.0899,1.901498529,0.7664
8.3132,2.063341406,0.7664
8.5735,2.263331677,0.7664
8.8703,2.506635948,0.7664
9.203,2.799332771,0.7664
9.5707,3.1484589780000003,0.7664
9.8127,3.37,0.8068
10.408,3.370000035,0.5306
10.8757,3.370000717,0.4467
11.3748,3.370000086,0.3801
11.9041,3.3700000180000003,0.3254
12.4625,3.370011453,0.2798
13.0487,3.3700000300000004,0.2415
13.6615,3.370001728,0.209
14.2995,3.370008641,0.1816
14.9612,3.370033669,0.1583
15.6452,3.3700000610000003,0.1384
16.35,3.3700002380000003,0.1214
17.074,3.370001502,0.1069
17.8155,3.3700022880000002,0.0945
18.5731,3.3700022840000003,0.0839
19.3448,3.3700182329999997,0.0748
20.1292,3.370034011,0.0669
20.9244,3.370004589,0.0601
21.7286,3.369999956,0.0542
22.5401,3.370000667,0.0491
23.357,3.370003948,0.0446
24.1776,3.37000009,0.0406
25,3.370104925,0.0372
