Nuclide,LLWA,LLWB,LLWC
H3,4E1,4E1,4E1
Co60,7E2,7E2,7E2
Ni63,3.5E1,7E2,7E3
Sr90,4E-2,1.5E2,7E3
Cs137,1.0,4.4E1,4.6E3
