Nuclide,LLWA,LLWB,LLWC
C14,8.0,8.0,8.0E+1
Ni59,2.2E1,2.2E1,2.2E2
Nb94,2.0E-2,2.0E-2,2.0E-1
Tc99,0.3,0.3,3.0
I129,8E-3,8E-3,8E-2
Pu241,3.5E-7,3.5e-7,3.5e-6
Cm242,2E-6,2e-6,2e-5
