Nuclide,LLW
C14,1.5e9
Ni63,1.3e11
Sr90,1.3e12
Nb94,3.7e6
Cs137,8.5e10
Tc99,5.5e7
I129,1.5e6
Pu241,1.3e8
Cm242,7.4e8
