WindSpeed[m/s],Power[MW],Ct
3,0.0,0.
4,0.0666,0.818
5,0.154,0.806
6,0.282,0.804
7,0.46,0.805
8,0.696,0.806
9,0.996,0.807
10,1.341,0.793
11,1.661,0.739
12,1.866,0.709
13,1.958,0.409
14,1.988,0.314
15,1.997,0.249
16,1.999,0.202
17,2.0,0.167
18,2.0,0.14
19,2.0,0.119
20,2.0,0.102
21,2.0,0.088
22,2.0,0.077
23,2.0,0.067
24,2.0,0.06
25,2.0,0.053
26,2.0,0.053
27,2.0,0.053
28,2.0,0.053
