gameweek,team,goals,yellow_cards,red_cards,second_yellow_cards,date_of_match,matches_played,points,goals_for,goals_against,goal_difference,fairplay,index,rank
1,Valencia,4,1.0,0.0,0.0,2020-09-13,1,3,4,2,2,1.0,7,1
1,Osasuna,2,2.0,0.0,0.0,2020-09-12,1,3,2,0,2,2.0,7,2
1,Granada,2,3.0,0.0,0.0,2020-09-12,1,3,2,0,2,3.0,7,3
1,Real_Betis,1,3.0,0.0,0.0,2020-09-13,1,3,1,0,1,3.0,7,4
1,Real_Sociedad,1,1.0,0.0,0.0,2020-09-13,1,1,1,1,0,1.0,7,5
1,Villarreal,1,1.0,0.0,0.0,2020-09-13,1,1,1,1,0,1.0,7,6
1,Huesca,1,1.0,0.0,0.0,2020-09-13,1,1,1,1,0,1.0,7,7
1,Valladolid,1,4.0,0.0,0.0,2020-09-13,1,1,1,1,0,4.0,7,8
1,Celta_Vigo,0,3.0,0.0,0.0,2020-09-12,1,1,0,0,0,3.0,7,9
1,Eibar,0,4.0,1.0,1.0,2020-09-12,1,1,0,0,0,5.0,7,10
1,Alaves,0,3.0,0.0,0.0,2020-09-13,1,0,0,1,-1,3.0,7,11
1,Levante,2,2.0,0.0,0.0,2020-09-13,1,0,2,4,-2,2.0,7,12
1,Cadiz,0,2.0,0.0,0.0,2020-09-12,1,0,0,2,-2,2.0,7,13
1,Athletic_Club,0,4.0,0.0,0.0,2020-09-12,1,0,0,2,-2,4.0,7,14
2,Granada,2,3.0,0.0,0.0,2020-09-20,2,6,4,1,3,3.0,14,1
2,Real_Betis,2,6.0,0.0,0.0,2020-09-20,2,6,3,0,3,6.0,14,2
2,Villarreal,2,2.0,0.0,0.0,2020-09-19,2,4,3,2,1,2.0,14,3
2,Celta_Vigo,2,6.0,0.0,0.0,2020-09-19,2,4,2,1,1,6.0,14,4
2,Getafe,1,4.0,0.0,0.0,2020-09-19,1,3,1,0,1,4.0,14,5
2,Osasuna,0,4.0,0.0,0.0,2020-09-19,2,3,2,1,1,4.0,14,6
2,Valencia,1,2.0,0.0,0.0,2020-09-19,2,3,5,4,1,2.0,14,7
2,Cadiz,2,5.0,0.0,0.0,2020-09-20,2,3,2,2,0,5.0,14,8
2,Real_Sociedad,0,3.0,0.0,0.0,2020-09-20,2,2,1,1,0,3.0,14,9
2,Real_Madrid,0,2.0,0.0,0.0,2020-09-20,1,1,0,0,0,2.0,14,10
2,Eibar,1,5.0,1.0,1.0,2020-09-19,2,1,1,2,-1,6.0,14,11
2,Huesca,0,4.0,0.0,0.0,2020-09-20,2,1,1,3,-2,4.0,14,12
2,Valladolid,0,4.0,0.0,0.0,2020-09-20,2,1,1,3,-2,4.0,14,13
2,Alaves,1,6.0,0.0,0.0,2020-09-20,2,0,1,3,-2,6.0,14,14
3,Real_Betis,2,11.0,1.0,0.0,2020-09-26,3,6,5,3,2,14.0,24,1
3,Granada,1,4.0,0.0,0.0,2020-09-27,3,6,5,7,-2,4.0,24,2
3,Real_Sociedad,3,4.0,0.0,0.0,2020-09-26,3,5,4,1,3,4.0,24,3
3,Celta_Vigo,1,10.0,0.0,0.0,2020-09-27,3,5,3,2,1,10.0,24,4
3,Valencia,1,2.0,0.0,0.0,2020-09-26,3,4,6,5,1,2.0,24,5
3,Real_Madrid,3,4.0,0.0,0.0,2020-09-26,2,4,3,2,1,4.0,24,6
3,Getafe,0,6.0,0.0,0.0,2020-09-26,2,4,1,0,1,6.0,24,7
3,Villarreal,0,3.0,0.0,0.0,2020-09-27,3,4,3,6,-3,3.0,24,8
3,Sevilla,3,2.0,0.0,0.0,2020-09-27,1,3,3,1,2,2.0,24,9
3,Levante,3,2.0,0.0,0.0,2020-09-27,2,3,5,5,0,2.0,24,10
3,Osasuna,1,6.0,0.0,0.0,2020-09-27,3,3,3,4,-1,6.0,24,11
3,Cadiz,1,9.0,0.0,0.0,2020-09-27,3,3,3,5,-2,9.0,24,12
