type_id,vehicle_class,connectivity_type,powertrain_type,automation_type,fuel_type,vintage_type,ev_features_id,operating_cost_per_mile
0,0,0,3,0,4,0,3,0.18
1,0,0,3,0,4,1,45,0.18
2,0,0,3,0,4,2,69,0.18
3,0,0,6,0,4,0,3,0.18
4,0,0,6,0,4,1,45,0.18
5,0,0,6,0,4,2,69,0.18
6,0,0,0,0,2,0,,0.18
7,0,0,0,0,2,1,,0.18
8,0,0,0,0,2,2,,0.18
9,0,0,0,0,1,0,,0.18
10,0,0,0,0,1,1,,0.18
11,0,0,0,0,1,2,,0.18
12,0,0,0,0,0,0,,0.18
13,0,0,0,0,0,1,,0.18
14,0,0,0,0,0,2,,0.18
15,0,0,4,0,3,0,,0.18
16,0,0,4,0,3,1,,0.18
17,0,0,4,0,3,2,,0.18
18,0,0,1,0,2,0,,0.18
19,0,0,1,0,2,1,,0.18
20,0,0,1,0,2,2,,0.18
21,0,0,1,0,1,0,,0.18
22,0,0,1,0,1,1,,0.18
23,0,0,1,0,1,2,,0.18
24,0,0,1,0,0,0,,0.18
25,0,0,1,0,0,1,,0.18
26,0,0,1,0,0,2,,0.18
27,0,0,5,0,2,0,,0.18
28,0,0,5,0,2,1,,0.18
29,0,0,5,0,2,2,,0.18
30,0,0,5,0,1,0,,0.18
31,0,0,5,0,1,1,,0.18
32,0,0,5,0,1,2,,0.18
33,0,0,5,0,0,0,,0.18
34,0,0,5,0,0,1,,0.18
35,0,0,5,0,0,2,,0.18
36,0,0,2,0,2,0,,0.18
37,0,0,2,0,2,1,,0.18
38,0,0,2,0,2,2,,0.18
39,0,0,2,0,1,0,,0.18
40,0,0,2,0,1,1,,0.18
41,0,0,2,0,1,2,,0.18
42,0,0,2,0,0,0,,0.18
43,0,0,2,0,0,1,,0.18
44,0,0,2,0,0,2,,0.18
45,0,1,3,0,4,0,3,0.18
46,0,1,3,0,4,1,45,0.18
47,0,1,3,0,4,2,69,0.18
48,0,1,6,0,4,0,3,0.18
49,0,1,6,0,4,1,45,0.18
50,0,1,6,0,4,2,69,0.18
51,0,1,0,0,2,0,,0.18
52,0,1,0,0,2,1,,0.18
53,0,1,0,0,2,2,,0.18
54,0,1,0,0,1,0,,0.18
55,0,1,0,0,1,1,,0.18
56,0,1,0,0,1,2,,0.18
57,0,1,0,0,0,0,,0.18
58,0,1,0,0,0,1,,0.18
59,0,1,0,0,0,2,,0.18
60,0,1,4,0,3,0,,0.18
61,0,1,4,0,3,1,,0.18
62,0,1,4,0,3,2,,0.18
63,0,1,1,0,2,0,,0.18
64,0,1,1,0,2,1,,0.18
65,0,1,1,0,2,2,,0.18
66,0,1,1,0,1,0,,0.18
67,0,1,1,0,1,1,,0.18
68,0,1,1,0,1,2,,0.18
69,0,1,1,0,0,0,,0.18
70,0,1,1,0,0,1,,0.18
71,0,1,1,0,0,2,,0.18
72,0,1,5,0,2,0,,0.18
73,0,1,5,0,2,1,,0.18
74,0,1,5,0,2,2,,0.18
75,0,1,5,0,1,0,,0.18
76,0,1,5,0,1,1,,0.18
77,0,1,5,0,1,2,,0.18
78,0,1,5,0,0,0,,0.18
79,0,1,5,0,0,1,,0.18
80,0,1,5,0,0,2,,0.18
81,0,1,2,0,2,0,,0.18
82,0,1,2,0,2,1,,0.18
83,0,1,2,0,2,2,,0.18
84,0,1,2,0,1,0,,0.18
85,0,1,2,0,1,1,,0.18
86,0,1,2,0,1,2,,0.18
87,0,1,2,0,0,0,,0.18
