Nuclide,Clearance,VLLW,LLW,ILW
H3,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Be7,1.0E+05,1.0E+06,4.0E+11,4.0E+11
C14,1.0E+03,1.0E+04,5.0E+08,4.0E+11
O15,1.0E+04,1.0E+05,4.0E+11,4.0E+11
F18,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Na22,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Na24,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Si31,1.0E+05,1.0E+06,4.0E+11,4.0E+11
P32,1.0E+05,1.0E+06,4.0E+11,4.0E+11
P33,1.0E+07,1.0E+08,4.0E+11,4.0E+11
S35,1.0E+07,1.0E+08,4.0E+11,4.0E+11
Cl36,1.0E+06,1.0E+07,4.0E+11,4.0E+11
C138,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ar37,1.0E+08,1.0E+09,4.0E+11,4.0E+11
Ar41,1.0E+04,1.0E+05,4.0E+11,4.0E+11
K40,1.0E+04,1.0E+05,4.0E+11,4.0E+11
K42,1.0E+04,1.0E+05,4.0E+11,4.0E+11
K43,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ca45,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Ca47,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Sc46,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Sc47,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Sc48,1.0E+03,1.0E+04,4.0E+11,4.0E+11
V48,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Cr51,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Mn51,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Mn52,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Mn52m,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Mn53,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Mn54,1.0E+02,1.0E+03,4.0E+11,4.0E+11
Mn56,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Fe52,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Fe55,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Fe59,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Co55,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Co56,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Co57,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Co58,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Co58m,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Co60,1.0E+02,1.0E+03,4.0E+11,4.0E+11
Co60m,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Co61,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Co62m,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ni59,1.0E+05,1.0E+06,1.0E+09,4.0E+11
Ni63,1.0E+05,1.0E+06,5.0E+10,4.0E+11
Ni65,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Cu64,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Zn65,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Zn69,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Zn69m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ga72,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ge71,1.0E+06,1.0E+07,4.0E+11,4.0E+11
As73,1.0E+05,1.0E+06,4.0E+11,4.0E+11
As74,1.0E+03,1.0E+04,4.0E+11,4.0E+11
As76,1.0E+04,1.0E+05,4.0E+11,4.0E+11
As77,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Se75,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Br82,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Kr74,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Kr76,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Kr77,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Kr79,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Kr81,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Kr83m,1.0E+07,1.0E+08,4.0E+11,4.0E+11
Kr85,1.0E+07,1.0E+08,4.0E+11,4.0E+11
Kr85m,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Kr87,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Kr88,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Rb86,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Sr85,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Sr85m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Sr87m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Sr89,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Sr90,1.0E+03,1.0E+04,1.0E+09,4.0E+11
Sr91,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Sr92,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Y90,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Y91,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Y91m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Y92,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Y93,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Zr93,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Zr95,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Zr97,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Nb93m,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Nb94,1.0E+02,1.0E+03,1.0E+06,4.0E+11
Nb95,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Nb97,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Nb98,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Mo90,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Mo93,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Mo99,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Mo101,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Tc96,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Tc96m,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Tc97,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Tc97m,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Tc99,1.0E+03,1.0E+04,1.0E+07,4.0E+11
Tc99m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ru97,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ru103,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ru105,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ru106,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Rh103m,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Rh105,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Pd103,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Pd109,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Ag105,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ag110m,1.0E+02,1.0E+03,4.0E+11,4.0E+11
Ag111,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Cd109,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Cd115,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Cd116m,1.0E+05,1.0E+06,4.0E+11,4.0E+11
In111,1.0E+04,1.0E+05,4.0E+11,4.0E+11
In113m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
In114m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
In115m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Sn113,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Sn125,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Sb122,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Sb124,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Sb125,1.0E+02,1.0E+03,4.0E+11,4.0E+11
Te123m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Te125m,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Te127,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Te127m,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Te129,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Te129m,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Te131,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Te131m,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Te132,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Te133,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Te133m,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Te134,1.0E+03,1.0E+04,4.0E+11,4.0E+11
I123,1.0E+04,1.0E+05,4.0E+11,4.0E+11
I125,1.0E+05,1.0E+06,4.0E+11,4.0E+11
I126,1.0E+04,1.0E+05,4.0E+11,4.0E+11
I129,1.0E+01,1.0E+02,1.0E+06,4.0E+11
I130,1.0E+03,1.0E+04,4.0E+11,4.0E+11
I131,1.0E+04,1.0E+05,4.0E+11,4.0E+11
I132,1.0E+03,1.0E+04,4.0E+11,4.0E+11
I133,1.0E+03,1.0E+04,4.0E+11,4.0E+11
I134,1.0E+03,1.0E+04,4.0E+11,4.0E+11
I135,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Xe131m,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Xe133,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Xe135,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Cs129,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Cs131,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Cs132,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Cs134m,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Cs134,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Cs135,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Cs136,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Cs137,1.0E+02,1.0E+03,1.0E+09,4.0E+11
Cs138,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ba131,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ba140,1.0E+03,1.0E+04,4.0E+11,4.0E+11
La140,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ce139,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ce141,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ce143,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ce144,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Pr142,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Pr143,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Nd147,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Nd149,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Pm147,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Pm149,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Sm151,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Sm153,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Eu152,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Eu152m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Eu154,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Eu155,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Gd153,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Gd159,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Tb160,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Dy165,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Dy166,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Ho166,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Er169,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Er171,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Tm170,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Tm171,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Yb175,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Lu177,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Hf181,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ta182,1.0E+03,1.0E+04,4.0E+11,4.0E+11
W181,1.0E+05,1.0E+06,4.0E+11,4.0E+11
W185,1.0E+06,1.0E+07,4.0E+11,4.0E+11
W187,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Re186,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Re188,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Os185,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Os191,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Os191m,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Os193,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ir190,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ir192,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ir194,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Pt191,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Pt193m,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Pt197,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Pt197m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Au198,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Au199,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Hg197,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Hg197m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Hg203,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Tl200,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Tl201,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Tl202,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Tl204,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Pb203,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Pb210,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Pb212,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Bi206,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Bi207,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Bi210,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Bi212,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Po203,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Po205,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Po207,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Po210,1.0E+03,1.0E+04,4.0E+11,4.0E+11
At211,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Rn220,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Rn222,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ra223,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ra224,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ra225,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ra226,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ra227,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Ra228,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Ac228,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Th226,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Th227,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Th228,1.0E+02,1.0E+03,4.0E+11,4.0E+11
Th229,1.0E+02,1.0E+03,4.0E+11,4.0E+11
Th230,1.0E+02,1.0E+03,4.0E+11,4.0E+11
Th231,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Th234,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Pa230,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Pa231,1.0E+02,1.0E+03,4.0E+11,4.0E+11
Pa233,1.0E+04,1.0E+05,4.0E+11,4.0E+11
U230,1.0E+03,1.0E+04,4.0E+11,4.0E+11
U231,1.0E+04,1.0E+05,4.0E+11,4.0E+11
U232,1.0E+02,1.0E+03,4.0E+11,4.0E+11
U233,1.0E+03,1.0E+04,4.0E+11,4.0E+11
U234,1.0E+03,1.0E+04,4.0E+11,4.0E+11
U235,1.0E+03,1.0E+04,4.0E+11,4.0E+11
U236,1.0E+03,1.0E+04,4.0E+11,4.0E+11
U237,1.0E+04,1.0E+05,4.0E+11,4.0E+11
U238,1.0E+03,1.0E+04,4.0E+11,4.0E+11
U239,1.0E+04,1.0E+05,4.0E+11,4.0E+11
U240,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Np237,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Np239,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Np240,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Pu234,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Pu235,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Pu236,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Pu237,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Pu238,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Pu239,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Pu240,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Pu241,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Pu242,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Pu243,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Pu244,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Am241,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Am242,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Am242m,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Am243,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Cm242,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Cm243,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Cm244,1.0E+03,1.0E+04,4.0E+05,4.0E+11
Cm245,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Cm246,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Cm247,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Cm248,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Bk249,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Cf246,1.0E+05,1.0E+06,4.0E+11,4.0E+11
Cf248,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Cf249,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Cf250,1.0E+03,1.0E+04,4.0E+05,4.0E+11
Cf251,1.0E+02,1.0E+03,4.0E+05,4.0E+11
Cf252,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Cf253,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Cf254,1.0E+02,1.0E+03,4.0E+11,4.0E+11
Es253,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Es254,1.0E+03,1.0E+04,4.0E+11,4.0E+11
Es254m,1.0E+04,1.0E+05,4.0E+11,4.0E+11
Fm254,1.0E+06,1.0E+07,4.0E+11,4.0E+11
Fm255,1.0E+05,1.0E+06,4.0E+11,4.0E+11
