WindSpeed[m/s],Power[MW],Ct
0,0.0,0
0.25,0.0,0
0.5,0.0,0
0.75,0.0,0
1,0.0,0
1.25,0.0,0
1.5,0.0,0
1.75,0.0,0
2,0.0,0
2.25,0.0,0
2.5,0.0,0
2.75,0.0,0
3,0.0,0.912
3.25,0.181,0.89325
3.5,0.229,0.8745
3.75,0.294,0.8675
4,0.377,0.8605
4.25,0.473,0.85025
4.5,0.581,0.84
4.75,0.698,0.83275
5,0.822,0.8255
5.25,0.952,0.82175
5.5,1.09,0.818
5.75,1.241,0.8175
6,1.41,0.817
6.25,1.598,0.81425
6.5,1.805,0.8115
6.75,2.027,0.8115
7,2.262,0.8115
7.25,2.509,0.8085
7.5,2.769,0.8055
7.75,3.05,0.7985
8,3.356,0.7915
8.25,3.687,0.7765
8.5,4.027,0.7615
8.75,4.355,0.73625
9,4.65,0.711
9.25,4.897,0.68025
9.5,5.101,0.6495
9.75,5.275,0.61525
10,5.429,0.581
10.25,5.571,0.54625
10.5,5.699,0.5115
10.75,5.806,0.47825
11,5.886,0.445
11.25,5.934,0.41675
11.5,5.957,0.3885
11.75,5.966,0.36275
12,5.97,0.337
12.25,5.976,0.31625
12.5,5.984,0.2955
12.75,5.992,0.27675
13,5.999,0.258
13.25,6.0,0.24325
13.5,6.0,0.2285
13.75,6.0,0.21725
14,6.0,0.206
14.25,6.0,0.19325
14.5,6.0,0.1805
14.75,6.0,0.1735
15,6.0,0.1665
15.25,6.0,0.15775
15.5,6.0,0.149
15.75,6.0,0.143
16,6.0,0.137
16.25,6.0,0.13175
16.5,6.0,0.1265
16.75,6.0,0.119
17,6.0,0.1115
17.25,6.0,0.10925
17.5,6.0,0.107
17.75,6.0,0.10275
18,6.0,0.0985
18.25,6.0,0.09425
18.5,6.0,0.09
18.75,6.0,0.086
19,6.0,0.082
19.25,6.0,0.08075
19.5,6.0,0.0795
19.75,6.0,0.076
20,6.0,0.0725
20.25,6.0,0.06975
20.5,6.0,0.067
20.75,6.0,0.06325
21,6.0,0.0595
21.25,6.0,0.05825
21.5,6.0,0.057
21.75,6.0,0.0535
22,6.0,0.05
22.25,6.0,0.049
22.5,6.0,0.048
22.75,6.0,0.04475
23,6.0,0.0415
23.25,6.0,0.0405
23.5,6.0,0.0395
23.75,6.0,0.039
24,6.0,0.0385
24.25,6.0,0.03525
24.5,6.0,0.032
24.75,6.0,0.0315
25,6.0,0.031
