gameweek,team,goals,yellow_cards,red_cards,second_yellow_cards,date_of_match,matches_played,points,goals_for,goals_against,goal_difference,fairplay,index,rank
1,Real_Madrid,3,2.0,1.0,0.0,2019-08-17,1,3,3,1,2,5.0,10,1
1,Sevilla,2,2.0,0.0,0.0,2019-08-18,1,3,2,0,2,2.0,10,2
1,Mallorca,2,2.0,0.0,0.0,2019-08-17,1,3,2,1,1,2.0,10,3
1,Valladolid,2,6.0,0.0,0.0,2019-08-18,1,3,2,1,1,6.0,10,4
1,Athletic_Club,1,1.0,0.0,0.0,2019-08-16,1,3,1,0,1,1.0,10,5
1,Alaves,1,2.0,0.0,0.0,2019-08-18,1,3,1,0,1,2.0,10,6
1,Osasuna,1,4.0,0.0,0.0,2019-08-17,1,3,1,0,1,4.0,10,7
1,Atletico_Madrid,1,3.0,1.0,1.0,2019-08-18,1,3,1,0,1,4.0,10,8
1,Villarreal,4,3.0,0.0,0.0,2019-08-17,1,1,4,4,0,3.0,10,9
1,Granada,4,1.0,0.0,0.0,2019-08-17,1,1,4,4,0,1.0,10,10
1,Real_Sociedad,1,4.0,0.0,0.0,2019-08-17,1,1,1,1,0,4.0,10,11
1,Valencia,1,4.0,1.0,1.0,2019-08-17,1,1,1,1,0,5.0,10,12
1,Eibar,1,3.0,0.0,0.0,2019-08-17,1,0,1,2,-1,3.0,10,13
1,Real_Betis,1,2.0,1.0,0.0,2019-08-18,1,0,1,2,-1,5.0,10,14
1,Barcelona,0,1.0,0.0,0.0,2019-08-16,1,0,0,1,-1,1.0,10,15
1,Levante,0,1.0,0.0,0.0,2019-08-18,1,0,0,1,-1,1.0,10,16
1,Leganes,0,1.0,1.0,0.0,2019-08-17,1,0,0,1,-1,4.0,10,17
1,Getafe,0,4.0,1.0,0.0,2019-08-18,1,0,0,1,-1,7.0,10,18
1,Celta_Vigo,1,5.0,0.0,0.0,2019-08-17,1,0,1,3,-2,5.0,10,19
1,Espanyol,0,2.0,0.0,0.0,2019-08-18,1,0,0,2,-2,2.0,10,20
2,Sevilla,1,3.0,0.0,0.0,2019-08-23,2,6,3,0,3,3.0,20,1
2,Atletico_Madrid,1,8.0,1.0,1.0,2019-08-25,2,6,2,0,2,9.0,20,2
2,Real_Madrid,1,4.0,1.0,0.0,2019-08-24,2,4,4,2,2,7.0,20,3
